Filename,Pd_atom label,Methyl_atom_1 label,Methyl_atom_2 label,Hydrogens_methyl_1_label,Hydrogens_methyl_2_label,Ligand_atom_1 label,Ligand_atom_2 label,Atoms_distance_2 label,Atoms_distance_3 label,Atoms_distance_4 label,Atoms_distance_2_a label,Atoms_distance_3_a label,Atoms_distance_4_a label,Atoms_distance_2_b label,Atoms_distance_3_b label,Atoms_distance_4_b label,Atom label shortest paths
ligand-001-n-n-1,2,3,7,"[6, 4, 5]","[10, 9, 8]",23,22,"[1, 13, 15, 17, 18, 19]","[11, 12, 14, 16, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",[],"[17, 18, 19]","[32, 33, 1, 20, 21, 28, 29, 30, 31]","[11, 12]","[1, 13, 15]","[11, 12, 14, 16, 19, 24, 25, 26, 27]","[20, 21]","[2, 23, 19, 1, 22]"
ligand-002-p-p-1,2,7,3,"[9, 8, 10]","[4, 6, 5]",16,17,"[1, 40, 13, 18, 51, 29]","[41, 42, 11, 12, 14, 15, 19, 20, 52, 53, 30, 31]","[21, 22, 23, 24, 32, 33, 34, 35, 43, 44, 45, 46, 54, 55, 56, 57]","[1, 18, 29]","[11, 12, 13, 19, 20, 30, 31]","[32, 33, 34, 35, 14, 15, 21, 22, 23, 24]","[13, 40, 51]","[1, 41, 42, 14, 15, 52, 53]","[11, 12, 43, 44, 45, 46, 54, 55, 56, 57]","[2, 16, 1, 13, 17]"
ligand-003-p-p-2,3,4,8,"[5, 7, 6]","[10, 11, 9]",1,12,"[32, 2, 43, 17, 21, 54]","[33, 34, 13, 14, 15, 44, 45, 18, 19, 55, 22, 23, 56]","[16, 20, 24, 25, 26, 27, 35, 36, 37, 38, 46, 47, 48, 49, 57, 58, 59, 60]","[17, 43, 54]","[44, 45, 15, 18, 19, 55, 56]","[2, 46, 47, 48, 49, 16, 20, 57, 58, 59, 60]","[2, 21, 32]","[33, 34, 13, 14, 15, 22, 23]","[35, 36, 37, 38, 16, 17, 20, 24, 25, 26, 27]","[3, 1, 17, 15, 2, 12]"
ligand-004-p-p-3,3,8,4,"[11, 10, 9]","[6, 5, 7]",45,1,"[42, 46, 16, 20, 57, 31]","[32, 2, 33, 43, 44, 14, 47, 48, 17, 18, 21, 22, 58, 59]","[12, 13, 15, 19, 23, 24, 25, 26, 34, 35, 36, 37, 49, 50, 51, 52, 60, 61, 62, 63]","[42, 46, 57]","[2, 43, 44, 47, 48, 58, 59]","[12, 13, 14, 49, 50, 51, 52, 60, 61, 62, 63]","[16, 20, 31]","[32, 33, 14, 17, 18, 21, 22]","[34, 35, 36, 37, 2, 15, 19, 23, 24, 25, 26]","[3, 45, 42, 2, 14, 16, 1]"
ligand-005-c-n-1,1,42,46,"[43, 44, 45]","[49, 48, 47]",2,59,"[50, 52, 61, 6]","[3, 4, 7, 51, 55, 56, 25]","[5, 8, 9, 20, 53, 54, 24, 58]","[6, 61]","[3, 4, 7, 25]","[5, 8, 9, 50, 20, 24]","[50, 52]","[51, 55, 56, 25]","[6, 53, 54, 24, 58]","[1, 2, 6, 25, 50, 59]"
ligand-006-c-n-2,1,28,32,"[31, 29, 30]","[33, 35, 34]",2,44,"[38, 36, 6, 79]","[3, 4, 37, 7, 41, 42, 23]","[5, 39, 40, 8, 9, 43, 19, 22]","[6, 79]","[3, 4, 7, 23]","[5, 36, 8, 9, 19, 22]","[36, 38]","[37, 41, 42, 23]","[39, 40, 6, 43, 22]","[1, 2, 6, 23, 36, 44]"
ligand-007-c-n-3,1,27,31,"[28, 30, 29]","[32, 34, 33]",2,43,"[35, 85, 37, 6]","[3, 36, 4, 7, 40, 41, 22]","[5, 38, 39, 8, 9, 42, 18, 21]","[6, 85]","[3, 4, 7, 22]","[5, 35, 8, 9, 18, 21]","[35, 37]","[36, 40, 41, 22]","[38, 39, 6, 42, 21]","[1, 2, 6, 22, 35, 43]"
ligand-008-c-n-4,1,23,27,"[26, 24, 25]","[28, 30, 29]",2,39,"[33, 85, 6, 31]","[32, 3, 36, 37, 4, 7, 22]","[34, 35, 5, 38, 8, 9, 18, 21]","[6, 85]","[3, 4, 7, 22]","[5, 8, 9, 18, 21, 31]","[31, 33]","[32, 36, 37, 22]","[34, 35, 38, 6, 21]","[1, 2, 6, 22, 31, 39]"
ligand-009-c-n-5,1,12,16,"[14, 13, 15]","[19, 17, 18]",2,28,"[20, 76, 6, 22]","[3, 4, 11, 21, 56, 25, 26]","[5, 7, 10, 23, 24, 57, 58, 27]","[6, 76]","[3, 4, 11, 56]","[5, 7, 10, 20, 57, 58]","[20, 22]","[11, 21, 25, 26]","[6, 10, 23, 24, 27]","[1, 2, 6, 11, 20, 28]"
ligand-010-c-n-6,1,22,26,"[23, 24, 25]","[27, 29, 28]",2,38,"[32, 116, 6, 30]","[3, 35, 36, 7, 4, 21, 31]","[33, 34, 5, 37, 8, 9, 17, 20]","[6, 116]","[3, 4, 7, 21]","[5, 8, 9, 17, 20, 30]","[30, 32]","[35, 36, 21, 31]","[33, 34, 37, 6, 20]","[1, 2, 6, 21, 30, 38]"
