filename,lig_node,rxn_node,ligand_name,candidate_literature,ni_atom_label,ligand_atom_1_label,ligand_atom_2_label,atoms_to_exclude
ligand-81-p-o-7-int1,81,CO_nonalt-ethylene,p-o-7,literature,55,1,30,"[33,34,35,56,57,58,63,64,59,60,61,62]"
ligand-84-p-o-10-int1,84,CO_nonalt-ethylene,p-o-10,candidate,66,1,28,"[30,31,32,67,68,75,73,74,69,70,71,72]"
ligand-85-p-o-11-int1,85,CO_nonalt-ethylene,p-o-11,candidate,74,1,5,"[16,17,18,65,66,67,72,73,68,70,71,69]"
ligand-86-p-o-12-int1,86,CO_nonalt-ethylene,p-o-12,candidate,69,1,5,"[15,16,17,70,71,72,77,78,73,74,75,76]"
ligand-87-p-o-13-int1,87,CO_nonalt-ethylene,p-o-13,candidate,57,1,5,"[16,17,18,48,49,50,51,52,53,54,55,56]"
ligand-88-p-o-14-int1,88,CO_nonalt-ethylene,p-o-14,candidate,71,1,5,"[15,16,17,72,73,74,79,80,75,76,77,78]"
ligand-90-p-o-16-int1,90,CO_nonalt-ethylene,p-o-16,candidate,58,1,2,"[55,56,57,59,61,60,66,67,62,63,64,65]"
ligand-92-p-o-18-int1,92,CO_nonalt-ethylene,p-o-18,candidate,52,1,5,"[15,16,17,53,54,55,60,61,56,57,58,59]"
ligand-96-p-o-22-int1,96,CO_nonalt-ethylene,p-o-22,candidate,71,1,5,"[15,16,17,72,73,74,79,80,75,77,76,78]"
ligand-97-p-o-23-int1,97,CO_nonalt-ethylene,p-o-23,candidate,77,1,5,"[15,16,17,78,79,80,85,86,81,82,83,84]"
ligand-99-p-o-25-int1,99,CO_nonalt-ethylene,p-o-25,candidate,69,1,5,"[15,16,17,70,71,72,77,73,74,75,76,78]"
ligand-100-p-o-26-int1,100,CO_nonalt-ethylene,p-o-26,candidate,44,1,7,"[3,4,5,45,46,47,52,53,48,50,49,51]"
ligand-183-n-o-34-int1,183,CO_nonalt-ethylene,n-o-34,candidate,90,1,2,"[12,13,14,91,92,93,98,99,94,95,96,97]"
ligand-186-p-o-53-int1,186,CO_nonalt-ethylene,p-o-53,candidate,40,1,5,"[16,17,18,41,42,43,48,49,44,45,46,47]"
ligand-242-n-o-79-int1,242,CO_nonalt-ethylene,n-o-79,candidate,143,1,7,"[8,9,10,144,145,146,151,152,147,148,149,150]"
ligand-243-p-o-63-int1,243,CO_nonalt-ethylene,p-o-63,candidate,71,1,6,"[2,3,4,72,73,74,79,80,75,76,77,78]"
ligand-244-p-o-64-int1,244,CO_nonalt-ethylene,p-o-64,candidate,83,1,6,"[2,3,4,84,85,86,91,87,92,90,89,88]"
ligand-245-p-o-65-int1,245,CO_nonalt-ethylene,p-o-65,candidate,89,1,6,"[2,3,4,90,91,92,93,94,95,96,97,98]"
ligand-246-c-n-8-int1,246,CO_nonalt-ethylene,c-n-8,candidate,70,1,46,"[42,43,44,71,72,73,78,79,74,75,76,77]"
ligand-248-c-o-4-int1,248,CO_nonalt-ethylene,c-o-4,candidate,74,1,49,"[71,72,73,42,44,43,78,79,74,75,76,77]"
ligand-252-p-o-67-int1,252,CO_nonalt-ethylene,p-o-67,candidate,19,1,5,"[16,17,18,20,21,22,27,28,23,24,25,26]"
ligand-255-p-o-70-int1,255,CO_nonalt-ethylene,p-o-70,candidate,77,1,5,"[45,46,47,78,79,80,85,81,82,83,84,86]"
ligand-260-c-o-10-int1,260,CO_nonalt-ethylene,c-o-10,candidate,72,1,51,"[48,49,50,73,74,75,80,81,76,77,78,79]"
ligand-266-p-o-75-int1,266,CO_nonalt-ethylene,p-o-75,candidate,76,1,3,"[7,8,9,77,78,79,84,85,80,81,82,83]"
ligand-267-p-o-76-int1,267,CO_nonalt-ethylene,p-o-76,candidate,63,1,4,"[14,15,16,64,66,65,71,72,67,70,68,69]"
ligand-268-p-o-77-int1,268,CO_nonalt-ethylene,p-o-77,candidate,43,1,4,"[14,15,16,44,45,46,51,52,47,48,49,50]"
ligand-269-p-o-78-int1,269,CO_nonalt-ethylene,p-o-78,candidate,73,1,4,"[14,15,16,74,75,76,81,82,77,78,79,80]"
ligand-270-p-o-79-int1,270,CO_nonalt-ethylene,p-o-79,candidate,43,1,4,"[14,15,16,44,45,46,51,52,47,48,49,50]"
ligand-272-p-o-81-int1,272,CO_nonalt-ethylene,p-o-81,candidate,17,1,4,"[14,15,16,18,19,20,25,26,21,22,23,24]"
ligand-279-p-o-86-int1,279,CO_nonalt-ethylene,p-o-86,candidate,81,1,2,"[4,5,6,72,73,74,79,80,75,76,77,78]"
ligand-281-p-o-88-int1,281,CO_nonalt-ethylene,p-o-88,candidate,82,1,2,"[4,5,6,83,84,85,90,86,87,88,89,91]"
ligand-294-p-o-106-int1,294,CO_nonalt-ethylene,p-o-106,candidate,81,1,4,"[13,14,15,82,83,84,89,90,85,86,87,88]"
ligand-305-p-o-117-int1,305,CO_nonalt-ethylene,p-o-117,candidate,85,1,5,"[15,16,17,86,87,88,93,94,89,91,90,92]"
ligand-309-n-n-27-int1,309,CO_nonalt-ethylene,n-n-27,candidate,82,4,3,"[91,90,83,84,85,63,64,65,86,87,88,89]"
ligand-310-p-o-119-int1,310,CO_nonalt-ethylene,p-o-119,candidate,89,1,5,"[14,15,16,90,91,92,97,98,93,94,95,96]"
ligand-312-p-o-121-int1,312,CO_nonalt-ethylene,p-o-121,candidate,76,1,5,"[14,15,16,77,78,79,84,85,80,81,82,83]"
ligand-315-n-n-29-int1,315,CO_nonalt-ethylene,n-n-29,candidate,163,3,4,"[39,40,41,154,155,156,161,162,157,158,159,160]"
ligand-339-n-n-47-int1,339,CO_nonalt-ethylene,n-n-47,candidate,90,4,3,"[21,22,23,91,92,93,98,99,94,95,96,97]"
ligand-349-p-o-128-int1,349,CO_nonalt-ethylene,p-o-128,candidate,48,1,5,"[35,36,37,49,50,51,56,52,53,54,55,57]"
ligand-350-p-o-129-int1,350,CO_nonalt-ethylene,p-o-129,candidate,54,1,6,"[35,36,37,55,56,57,62,63,58,59,60,61]"
ligand-407-p-o-138-int1,407,CO_nonalt-ethylene,p-o-138,candidate,63,1,5,"[34,35,36,64,65,66,71,72,67,68,69,70]"
ligand-408-p-o-139-int1,408,CO_nonalt-ethylene,p-o-139,candidate,77,1,5,"[34,35,36,78,79,80,85,86,81,82,83,84]"
ligand-410-p-p-30-int1,410,CO_nonalt-ethylene,p-p-30,candidate,56,1,15,"[11,12,13,57,58,59,64,65,60,61,62,63]"
ligand-468-p-o-165-int1,468,CO_nonalt-ethylene,p-o-165,literature,55,1,30,"[33,34,35,56,57,58,63,64,59,60,61,62]"
ligand-469-p-o-166-int1,469,CO_nonalt-ethylene,p-o-166,literature,102,1,30,"[33,34,35,103,104,105,110,111,106,107,108,109]"
ligand-471-p-o-168-int1,471,CO_nonalt-ethylene,p-o-168,literature,15,1,10,"[12,13,14,16,17,18,23,24,19,20,21,22]"
ligand-472-p-o-169-int1,472,CO_nonalt-ethylene,p-o-169,literature,62,1,27,"[30,31,32,63,64,65,66,67,68,69,70,71]"
