Name,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,NBO-dist-2-avg,NBO-dist-3-avg,NBO-dist-4-avg,NBO-dist-2-a-avg,NBO-dist-3-a-avg,NBO-dist-4-a-avg,NBO-dist-2-b-avg,NBO-dist-3-b-avg,NBO-dist-4-b-avg,NBO-dist-2-a-b-diff,NBO-dist-3-a-b-diff,NBO-dist-4-a-b-diff,NBO-dist-2-min,NBO-dist-3-min,NBO-dist-4-min,NBO-dist-2-max,NBO-dist-3-max,NBO-dist-4-max,NBO-dist-2-a-min,NBO-dist-3-a-min,NBO-dist-4-a-min,NBO-dist-2-b-min,NBO-dist-3-b-min,NBO-dist-4-b-min,NBO-dist-2-a-max,NBO-dist-3-a-max,NBO-dist-4-a-max,NBO-dist-2-b-max,NBO-dist-3-b-max,NBO-dist-4-b-max,NBO-metal-donor-diff,NBO-metal-a-diff,NBO-metal-b-diff,NBO-dist-2-1-avg-diff,NBO-dist-3-2-avg-diff,NBO-dist-4-3-avg-diff,NBO-dist-2-1-a-avg-diff,NBO-dist-3-2-a-avg-diff,NBO-dist-4-3-a-avg-diff,NBO-dist-2-1-b-avg-diff,NBO-dist-3-2-b-avg-diff,NBO-dist-4-3-b-avg-diff,Metal_mullkien,A_mulliken,B_mulliken,A-B_mulliken,Mulliken-dist-2-avg,Mulliken-dist-3-avg,Mulliken-dist-4-avg,Total % VBur,% VBur SE,% VBur SW,% VBur NE,% VBur NW,% VBur max,% VBur min,% VBur max min diff,% VBur NE NW diff,% VBur SE SW diff,% VBur NE SE diff,% VBur NW SW diff,% VBur NE SW diff,% VBur NW SE diff,% VBur asymm 1,% VBur asymm 2,% VBur asymm 3,% VBur octant 1,% VBur octant 2,% VBur octant 3,% VBur octant 4,% VBur octant 5,% VBur octant 6,% VBur octant 7,% VBur octant 8
ligand-100-p-o-26-int1,44,1,7,89,2.202,1.962,0.29534,1.1728,-1.03503,0.1946,2.2078,0.0565,-0.5121,0.2277,-0.5904,-0.1225,0.0407,1.9975,-1.0557,0.3637,2.5879,0.9332,0.323,-1.14672,-1.01181,0.19611,1.99751,0.27285,0.26851,-1.14672,-0.60998,-1.03503,1.99751,-1.14672,0.25102,-0.30994,1.99751,0.23246,1.99751,-1.00849,1.1728,0.22644,0.87746,1.33037,0.0124,0.5686,0.7398,1.7632,0.4679,0.1632,3.03253,3.0532,1.4194,0.216377,0.170062,-0.481115,0.651177,0.0725,-0.2502,0.1374,74.97612281,89.50102497,66.06876631,80.63501677,63.69968319,89.50102497,63.69968319,25.80134178,72.16734998,77.78489564,85.06802087,64.88422475,73.35189154,76.60035408,5.617545658,20.18379612,3.248462542,83.06000745,64.08404771,50.95508759,69.99161387,91.27841968,76.44427879,68.0534849,95.94204249
ligand-11-c-n-7-int1,50,1,16,89,1.854,1.999,0.31179,0.31789,-0.43781,0.1513,0.7557,-0.0996,-0.0305,0.0567,-0.352,0.003,0.0562,0.1529,-0.1137,0.0774,0.5049,0.1167,0.0212,-0.36571,-0.22917,-0.22468,0.21944,0.21758,0.23906,-0.36571,-0.22917,-0.22468,0.08629,-0.22917,-0.33838,-0.33838,0.21758,0.23906,0.21944,0.2158,0.23906,0.37179,0.0061,0.7496,0.0396,0.0691,0.0872,0.66989,0.355,0.0532,0.59071,0.2666,0.1911,0.001658,-0.117813,-0.25282,0.135007,0.0115,-0.0148,0.0787,82.5778047,79.50521804,67.09373835,96.93906075,86.77320164,96.93906075,67.09373835,29.8453224,91.8561312,73.2994782,88.2221394,76.93347,82.01639955,83.13920984,18.556653,11.2886694,1.122810287,78.7504659,58.05534849,81.76481551,96.65952292,97.21859858,91.78158777,76.13212821,80.25997018
ligand-124-c-o-3-int1,108,1,35,20,1.891,4.406,0.31179,0.30727,-0.66463,0.1486,0.9719,-0.137,-0.0057,0.0108,-0.3856,0.0616,0.0679,0.3602,-0.108,-0.1003,0.7458,0.1696,0.1682,-0.41327,-0.27487,-0.21399,0.36023,0.13658,0.24562,-0.41327,-0.03232,-0.21399,0.36023,-0.27487,-0.35791,-0.35791,0.13658,0.36023,0.36023,0.05883,0.21137,0.49049,0.00452,0.97642,0.0417,0.1313,0.0165,0.69287,0.4472,0.0063,1.02483,0.4682,0.0077,0.001658,-0.217434,-0.533162,0.315728,0.3201,-0.1246,-0.0325,85.66436824,94.7936079,79.8196981,96.63855758,71.40560939,96.63855758,71.40560939,25.23294819,84.02208349,87.306653,95.71608274,75.61265375,88.22912784,83.09960865,3.284569512,20.103429,5.129519195,90.34662691,86.47036899,70.15933656,95.6438688,97.63324637,72.65188222,73.16902721,99.24058889
ligand-126-p-p-25-int1,57,6,1,76,2.184,2.279,0.01871,1.2467,1.06788,0.1886,0.1788,-0.4927,-0.3193,0.1544,-0.575,-0.2252,0.1591,-0.6053,0.1497,-0.0555,0.0303,0.3749,0.2146,-1.07733,-0.60731,-0.19482,-0.32342,0.27218,0.22899,-1.07733,-0.60731,-0.37078,-1.07733,-0.19545,-0.32414,-0.32342,1.06788,0.22899,-0.3679,1.2467,0.21998,1.13859,1.22799,1.04917,1.65,0.1734,0.4737,1.8217,0.3498,0.3843,1.67318,0.755,0.2052,-0.148024,0.252282,0.426714,0.174432,-0.0628,-0.2058,0.1012,80.94949683,86.20713753,77.37374208,86.23509132,73.9820164,86.23509132,73.9820164,12.25307492,80.10855386,81.79043981,86.22111442,75.67787924,81.8044167,80.09457697,1.681885949,10.54323518,1.709839732,74.94409243,67.77860604,57.1002609,74.37569884,98.09448379,90.8637719,86.96887812,97.47018263
ligand-127-p-p-26-int1,69,1,6,77,2.169,2.296,0.03847,1.2498,1.04978,0.1885,0.2,-0.5417,-0.3011,0.1319,-0.7028,0.0511,-0.0215,-0.5565,-0.2053,0.142,0.1463,0.2564,0.1635,-1.06958,-0.60713,-0.38533,-0.29848,0.26752,0.22747,-1.06958,-0.39576,-0.38533,-1.06958,-0.60713,-0.52206,-0.51689,1.04978,0.21249,-0.29848,1.2498,0.22747,1.11133,1.21133,1.01131,1.6915,0.2406,0.433,1.9526,0.7539,0.0726,1.60628,0.3512,0.3473,-0.14289,0.357539,0.330727,0.026812,-0.0773,-0.205,0.0889,80.47311778,84.4460492,80.57212076,81.40840477,75.46589638,84.4460492,75.46589638,8.980152814,78.43715058,82.50908498,82.92722698,78.01900857,80.99026277,79.95597279,4.071934402,4.908218412,1.034289974,76.88688036,65.79388744,56.62970555,70.52273574,92.2940738,94.30208722,95.35035408,92.00521804
ligand-13-p-p-5-int1,83,6,1,93,2.185,2.282,0.02762,1.22654,1.10372,0.1855,0.1228,-0.5844,-0.0988,0.0227,-0.5892,-0.1165,-0.0135,-0.5796,-0.1135,-0.0154,0.0096,0.003,0.0019,-0.72462,-0.39721,-0.38457,-0.50711,0.24265,0.22552,-0.72462,-0.39721,-0.7208,-0.7208,-0.39366,-0.72462,-0.51539,0.24265,0.22552,-0.50711,0.2424,0.22552,1.13748,1.19892,1.0761,1.7495,0.4856,0.1215,1.81574,0.4727,0.103,1.68332,0.4661,0.0981,-0.294152,0.417324,0.398407,0.018917,-0.1062,-0.1081,0.0356,80.83360511,75.51947447,81.96049199,86.25372717,79.6007268,86.25372717,75.51947447,10.7342527,82.92722698,78.73998323,80.88660082,80.78060939,84.10710958,77.56010063,4.187243757,0.105991428,6.547008945,73.49515468,78.62001491,68.87346254,73.55106224,98.9563921,90.32799105,85.30096906,77.54379426
ligand-14-p-c-1-int1,69,1,41,86,2.149,1.941,0.09588,1.23677,0.26101,0.1967,0.9758,-0.4576,-0.0585,0.0366,-0.5185,-0.1116,0.019,-0.3662,-0.1304,0.3166,0.1523,0.0188,0.2976,-0.52367,-0.39579,-0.38537,-0.36396,0.23338,0.24213,-0.52367,-0.39579,-0.38537,-0.36853,-0.51917,0.01208,-0.51267,0.23338,0.26101,-0.36396,0.11119,1.23677,0.65302,1.14089,0.16513,1.2065,0.3991,0.0951,1.75527,0.4069,0.1306,0.62721,0.2358,0.447,0.378013,0.263744,-0.045277,0.309021,-0.1117,-0.0682,0.0441,77.39412505,71.3147596,68.82920239,86.52161759,82.91092061,86.52161759,68.82920239,17.69241521,84.7162691,70.07198099,78.91818859,75.8700615,77.67540999,77.1128401,14.64428811,3.048127097,0.562569884,62.94726053,65.51900857,76.66325009,74.98602311,98.05721208,89.15859113,72.1393962,79.68225867
ligand-15-p-c-2-int1,80,1,42,86,2.15,1.947,0.10802,1.24227,0.35732,0.1928,0.8849,-0.477,-0.0893,0.0518,-0.5182,-0.1198,0.0148,-0.4152,-0.2092,0.2828,0.103,0.0894,0.268,-0.52356,-0.39554,-0.3854,-0.41409,0.23037,0.21944,-0.52356,-0.41409,-0.3854,-0.41629,-0.51829,0.00461,-0.51273,0.23037,0.35732,-0.41409,0.11835,1.24227,0.69178,1.13425,0.2493,1.2768,0.3877,0.1411,1.76047,0.3984,0.1346,0.77252,0.206,0.492,0.36918,0.313366,-0.003151,0.316517,-0.1386,-0.0727,0.0465,78.30902907,70.82323891,69.0854454,86.54025345,86.78717853,86.78717853,69.0854454,17.70173313,86.66371599,69.95434215,78.68174618,77.93631196,77.81284942,78.80520872,16.70937384,0.745434215,0.992359299,61.51229966,67.11237421,81.51323146,75.72679836,97.35370854,92.06112561,71.05851659,80.13417816
ligand-16-p-c-3-int1,75,1,42,85,2.284,1.879,0.15065,1.08745,0.37876,0.1839,0.7087,-0.458,-0.0282,-0.0219,-0.5043,-0.1157,0.0401,-0.3885,-0.0408,0.1615,0.1158,0.0749,0.1214,-0.51165,-0.39823,-0.38494,-0.38248,0.23187,0.22204,-0.51165,-0.39823,-0.38494,-0.3945,-0.51165,-0.22195,-0.49928,0.23187,0.37876,-0.38248,0.12899,1.08745,0.58245,0.9368,0.22811,1.1911,0.4298,0.0063,1.59175,0.3886,0.1558,0.76726,0.3477,0.2023,0.140684,0.28806,0.037547,0.250513,-0.0683,-0.0697,-0.0025,75.29234998,75.25391353,74.64125978,66.90039135,84.37383526,84.37383526,66.90039135,17.47344391,75.63711331,74.94758666,71.07715244,79.50754752,70.77082557,79.81387439,0.689526649,8.43039508,9.043048826,71.21692136,76.48620947,75.20033545,54.14647782,79.65430488,93.54733507,72.7963101,79.2909057
ligand-18-p-c-5-int1,75,5,49,90,2.19,1.954,0.08866,1.2213,0.2701,0.196,0.9512,-0.5024,-0.0979,0.0734,-0.5845,-0.1171,0.0225,-0.3794,-0.0546,0.0764,0.2051,0.0625,0.0539,-0.72087,-0.39885,-0.38358,-0.37294,0.24525,0.24194,-0.72087,-0.39885,-0.38358,-0.38582,-0.19797,-0.39726,-0.51441,0.24525,0.23207,-0.37294,0.10686,0.24194,0.65704,1.13264,0.18144,1.2481,0.4045,0.1713,1.8058,0.4674,0.1396,0.6495,0.3248,0.131,-0.176549,0.502569,-0.085619,0.588188,-0.0902,-0.0973,0.0646,83.81184775,85.46636228,93.28177413,77.95378308,78.54547149,93.28177413,77.95378308,15.32799105,78.24962728,89.37406821,81.71007268,85.91362281,85.61777861,82.00591688,11.12444092,4.20355013,3.611861722,78.89023481,88.43645173,68.53335818,62.87271711,93.03484905,88.55758479,98.12709653,92.04248975
