Filename,Ni_atom_label,Ligand_atom_1_label,Ligand_atom_2_label,Atoms_distance_2,Atoms_distance_3,Atoms_distance_4,Atoms_distance_2_a,Atoms_distance_3_a,Atoms_distance_4_a,Atoms_distance_2_b,Atoms_distance_3_b,Atoms_distance_4_b,Atoms_to_exclude
ligand-100-p-o-26-int1,44,1,7,"[2, 6, 18, 31]","[2, 6, 8, 9, 10, 14, 19, 23, 27, 32, 36, 39]","[1, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 26, 28, 29, 30, 33, 34, 35, 37, 38, 40, 41, 42, 43]","[2, 18, 31]","[6, 8, 9, 19, 23, 27, 32, 36, 39]","[7, 10, 14, 20, 21, 22, 24, 25, 26, 28, 29, 30, 33, 34, 35, 37, 38, 40, 41, 42, 43]",[6],"[2, 10, 14]","[1, 8, 9, 11, 12, 13, 15, 16, 17]","[3, 4, 5, 45, 46, 47, 52, 53, 48, 50, 49, 51]"
ligand-183-n-o-34-int1,90,1,2,"[3, 15, 67]","[4, 5, 20, 37, 68, 79]","[6, 7, 15, 16, 18, 38, 67, 69, 70, 80, 81]","[3, 15]","[4, 5, 20, 37]","[6, 7, 16, 18, 38, 67]",[67],"[37, 68, 79]","[15, 38, 69, 70, 80, 81]","[12, 13, 14, 91, 92, 93, 98, 99, 94, 95, 96, 97]"
ligand-242-n-o-79-int1,143,1,7,"[2, 4, 16]","[2, 3, 4, 11, 21, 22]","[1, 3, 5, 6, 7, 11, 12, 13, 17, 18, 23, 31]","[2, 16]","[3, 4, 21, 22]","[5, 6, 7, 11, 17, 18, 23, 31]",[4],"[2, 11]","[1, 3, 12, 13]","[8, 9, 10, 144, 145, 146, 151, 152, 147, 148, 149, 150]"
ligand-243-p-o-63-int1,71,1,6,"[5, 7, 17, 34]","[8, 9, 18, 19, 33, 36, 45, 60]","[5, 10, 11, 12, 20, 21, 22, 27, 34, 35, 39, 40, 43, 44, 46, 61, 62]","[7, 17, 34]","[8, 9, 18, 19, 33, 36]","[5, 10, 11, 12, 20, 21, 22, 35, 39, 40, 43, 44]",[5],"[33, 45, 60]","[27, 34, 35, 46, 61, 62]","[2, 3, 4, 72, 73, 74, 79, 80, 75, 76, 77, 78]"
ligand-244-p-o-64-int1,83,1,6,"[5, 14, 49, 66]","[13, 16, 23, 38, 50, 51, 52, 67, 68, 69]","[5, 7, 14, 15, 19, 20, 24, 39, 40, 53, 54, 55, 56, 57, 58, 70, 71, 72, 73, 74, 75]","[14, 49, 66]","[13, 16, 50, 51, 52, 67, 68, 69]","[5, 15, 19, 20, 53, 54, 55, 56, 57, 58, 70, 71, 72, 73, 74, 75]",[5],"[13, 23, 38]","[7, 14, 15, 24, 39, 40]","[2, 3, 4, 84, 85, 86, 91, 87, 92, 90, 89, 88]"
ligand-245-p-o-65-int1,89,1,6,"[5, 14, 49, 60]","[13, 16, 23, 38, 50, 51, 61, 62]","[5, 7, 14, 15, 19, 20, 24, 39, 40, 52, 53, 54, 55, 63, 64, 65, 70]","[14, 49, 60]","[13, 16, 50, 51, 61, 62]","[5, 15, 19, 20, 52, 53, 54, 55, 63, 64, 65, 70]",[5],"[13, 23, 38]","[7, 14, 15, 24, 39, 40]","[2, 3, 4, 90, 91, 92, 93, 94, 95, 96, 97, 98]"
ligand-246-c-n-8-int1,70,1,46,"[5, 6, 25, 47]","[2, 3, 6, 7, 24, 25, 48, 49, 50]","[1, 3, 4, 8, 9, 20, 21, 24, 45, 46, 51, 52]","[5, 6]","[2, 3, 7, 25]","[4, 8, 9, 20, 24, 46]","[25, 47]","[6, 24, 48, 49, 50]","[1, 3, 21, 45, 51, 52]","[42, 43, 44, 71, 72, 73, 78, 79, 74, 75, 76, 77]"
ligand-248-c-o-4-int1,74,1,49,"[5, 6, 45]","[2, 3, 7, 25, 46, 47]","[4, 6, 8, 9, 20, 24, 45, 50, 54, 58, 62, 66, 70]","[5, 6]","[2, 3, 7, 25]","[4, 8, 9, 20, 24, 45]",[45],"[25, 46, 47]","[6, 24, 50, 54, 58, 62, 66, 70]","[71, 72, 73, 42, 44, 43, 78, 79, 74, 75, 76, 77]"
ligand-255-p-o-70-int1,77,1,5,"[2, 4, 16, 31]","[3, 6, 7, 11, 17, 18, 19, 32, 33, 34]","[2, 4, 8, 10, 15, 20, 21, 22, 23, 24, 35, 36, 37, 38, 39, 48, 58]","[2, 16, 31]","[3, 11, 17, 18, 19, 32, 33, 34]","[4, 8, 10, 15, 20, 21, 22, 23, 24, 35, 36, 37, 38, 39, 48, 58]",[4],"[3, 6, 7]","[2, 8]","[45, 46, 47, 78, 79, 80, 85, 81, 82, 83, 84, 86]"
ligand-260-c-o-10-int1,72,1,51,"[5, 6, 28]","[2, 3, 7, 26, 30]","[4, 6, 8, 9, 20, 24, 28, 29, 52]","[5, 6]","[2, 3, 7, 26]","[4, 8, 9, 20, 24, 28]",[28],"[26, 30]","[6, 24, 29, 52]","[48, 49, 50, 73, 74, 75, 80, 81, 76, 77, 78, 79]"
ligand-266-p-o-75-int1,76,1,3,"[2, 4, 18, 33]","[2, 4, 5, 6, 10, 14, 19, 20, 21, 34, 35, 36]","[1, 3, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 22, 23, 24, 25, 26, 37, 38, 39, 40, 41, 52, 66]","[4, 18, 33]","[2, 5, 6, 19, 20, 21, 34, 35, 36]","[3, 10, 14, 22, 23, 24, 25, 26, 37, 38, 39, 40, 41, 52, 66]",[2],"[4, 10, 14]","[1, 5, 6, 11, 12, 13, 15, 16, 17]","[7, 8, 9, 77, 78, 79, 84, 85, 80, 81, 82, 83]"
