d_node,t_node,num_common_neighbor,jaccard_coefficient,preferential_attach
d12,t5,10,1.0,24
d1,t7,13,0.9285714285714286,33
d14,t4,10,0.9090909090909091,18
d6,t6,13,1.0,40
d15,t5,10,1.0,24
d14,t6,8,0.8,16
d13,t1,9,1.0,18
d7,t5,11,1.0,30
d1,t1,9,1.0,18
d12,t6,12,1.0,32
d2,t5,9,0.9,24
d4,t5,9,0.9,24
d11,t2,13,1.0,40
d8,t5,11,1.0,30
d15,t4,13,1.0,36
d5,t2,12,1.0,32
d7,t6,13,1.0,40
d3,t5,9,1.0,18
d6,t1,11,1.0,30
d11,t6,13,1.0,40
d14,t1,6,0.75,12
d9,t2,13,1.0,40
d4,t4,13,1.0,36
d14,t3,11,0.7857142857142857,24
d5,t4,13,1.0,36
d3,t2,11,1.0,24
d2,t6,12,1.0,32
d12,t1,10,1.0,24
d8,t6,13,1.0,40
d3,t4,12,1.0,27
d10,t3,16,1.0,48
d15,t1,10,1.0,24
d4,t7,14,0.9333333333333333,44
d2,t7,14,0.9333333333333333,44
d10,t2,12,1.0,32
d13,t5,9,1.0,18
d13,t3,15,1.0,36
d1,t5,8,0.8888888888888888,18
d13,t2,11,1.0,24
d5,t1,10,1.0,24
d9,t1,11,1.0,30
d1,t4,12,1.0,27
d3,t1,9,1.0,18
d10,t7,15,1.0,44
d14,t2,7,0.7,16
