Name,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,NBO-dist-2-avg,NBO-dist-3-avg,NBO-dist-4-avg,NBO-dist-2-a-avg,NBO-dist-3-a-avg,NBO-dist-4-a-avg,NBO-dist-2-b-avg,NBO-dist-3-b-avg,NBO-dist-4-b-avg,NBO-dist-2-a-b-diff,NBO-dist-3-a-b-diff,NBO-dist-4-a-b-diff,NBO-dist-2-min,NBO-dist-3-min,NBO-dist-4-min,NBO-dist-2-max,NBO-dist-3-max,NBO-dist-4-max,NBO-dist-2-a-min,NBO-dist-3-a-min,NBO-dist-4-a-min,NBO-dist-2-b-min,NBO-dist-3-b-min,NBO-dist-4-b-min,NBO-dist-2-a-max,NBO-dist-3-a-max,NBO-dist-4-a-max,NBO-dist-2-b-max,NBO-dist-3-b-max,NBO-dist-4-b-max,NBO-metal-donor-diff,NBO-metal-a-diff,NBO-metal-b-diff,NBO-dist-2-1-avg-diff,NBO-dist-3-2-avg-diff,NBO-dist-4-3-avg-diff,NBO-dist-2-1-a-avg-diff,NBO-dist-3-2-a-avg-diff,NBO-dist-4-3-a-avg-diff,NBO-dist-2-1-b-avg-diff,NBO-dist-3-2-b-avg-diff,NBO-dist-4-3-b-avg-diff,Metal_mullkien,A_mulliken,B_mulliken,A-B_mulliken,Mulliken-dist-2-avg,Mulliken-dist-3-avg,Mulliken-dist-4-avg,Total internal angle deviation %,Total % VBur,% VBur SE,% VBur SW,% VBur NE,% VBur NW,% VBur max,% VBur min,% VBur max min diff,% VBur NE NW diff,% VBur SE SW diff,% VBur NE SE diff,% VBur NW SW diff,% VBur NE SW diff,% VBur NW SE diff,% VBur asymm 1,% VBur asymm 2,% VBur asymm 3,% VBur octant 1,% VBur octant 2,% VBur octant 3,% VBur octant 4,% VBur octant 5,% VBur octant 6,% VBur octant 7,% VBur octant 8
ligand-001-n-n-1,2,23,22,80.01004,2.324,2.324,0.26015,-0.42686,-0.42686,0.1863,0.0,-0.338,0.1958,,-0.338,0.15,,-0.338,0.15,,0.0,0.0,,-0.40168,0.16904,,-0.21695,0.21725,,-0.40166,-0.21696,,-0.40168,-0.21695,,-0.21695,0.21719,,-0.21696,0.21725,,0.6870499999999999,0.68701,0.68701,0.08889999999999998,0.5338,,0.08886,0.488,,0.08886,0.488,,0.043068,-0.224699,-0.224683,1.6000000000016e-05,-0.185,0.1201,,4.6652,39.78871598956392,39.752609019754004,39.73630264629146,39.89237793514722,39.773574357062984,39.89237793514722,39.73630264629146,0.15607528885576016,39.8329761461051,39.744455833022734,39.822493477450614,39.75493850167722,39.81434029071934,39.763091688408494,0.08852031308236974,0.06755497577339042,0.05124860231084938,79.27692881103242,75.60566530003727,79.30488259411106,75.75009317927693,4.034662691017518,0.2422661200149087,3.866939992545658,0.22828922847558702
ligand-002-p-p-1,2,16,17,81.0875,2.404,2.406,-0.11874,1.06691,1.0683,0.1585,0.0014,-0.466,-0.0505,0.009,-0.4665,-0.1444,0.054,-0.4655,-0.1416,0.0528,0.001,0.0028,0.0012,-0.70611,-0.19953,-0.20626,-0.34102,0.23721,0.23276,-0.68915,-0.70611,-0.20626,-0.70611,-0.68915,-0.20164,-0.34968,0.23071,0.23721,-0.34102,0.23721,0.23276,1.1863400000000002,1.18565,1.18704,1.5336,0.41550000000000004,0.059500000000000004,1.53341,0.32210000000000005,0.1984,1.5338,0.3239,0.19440000000000002,-0.282165,0.444067,0.415622,0.028444999999999998,-0.1192,-0.0713,0.0284,4.9791,44.96890141632501,41.050130450987695,49.361721953037645,43.83852031308237,45.62523294819232,49.361721953037645,41.050130450987695,8.31159150204995,44.731876630637345,45.20592620201267,42.44432538203503,47.49347745061498,46.60012113306001,43.33768169959001,0.4740495713753248,5.04915206857995,3.26243943347,81.56448005963473,92.05180767797242,83.06000745434216,82.57547521431233,5.101565411852404,8.19045844204249,6.67163622810287,0.5357808423406635
ligand-003-p-p-2,3,1,12,88.85482,2.393,2.398,-0.12498,1.08763,1.0826,0.1628,0.005,-0.4634,-0.0803,0.0314,-0.4645,-0.1027,-0.0188,-0.4622,-0.1043,-0.0179,0.0023,0.0016,0.0009,-0.69824,-0.40464,-0.20598,-0.341,0.23155,0.2339,-0.69207,-0.40464,-0.69824,-0.69824,-0.40464,-0.69207,-0.341,0.22802,0.2339,-0.34301,0.23155,0.23033,1.21008,1.2126100000000002,1.20758,1.5485,0.3831,0.1117,1.55213,0.3618,0.0839,1.5448,0.3579,0.0864,-0.275612,0.422932,0.389752,0.03317999999999999,-0.1072,-0.0842,0.0379,6.9387,47.61519288110324,42.34532240029817,42.61787178531494,52.78606038017145,52.7115169586284,52.78606038017145,42.34532240029817,10.440737979873276,52.74878866939993,42.48159709280655,47.56569139023481,47.66469437197167,47.7019660827432,47.52841967946328,10.267191576593376,0.0990029817368594,0.17354640327991433,74.02161759224748,74.37569884457696,95.38762579202385,96.70611256056652,8.866008199776369,10.03540812523295,10.860044726052925,10.669027208348863
ligand-004-p-p-3,3,45,1,95.97953,2.432,2.441,-0.0932,1.06382,1.0589,0.1693,0.0049,-0.4556,-0.1061,0.0488,-0.4564,-0.1049,0.0069,-0.4548,-0.1073,0.0082,0.0016,0.0024,0.0013,-0.69006,-0.41196,-0.20406,-0.33268,0.23607,0.23432,-0.68585,-0.39756,-0.41196,-0.69006,-0.41196,-0.39756,-0.33268,0.23607,0.23432,-0.33685,0.23126,0.22831,1.1545999999999998,1.15702,1.1521,1.517,0.34950000000000003,0.1549,1.52022,0.3515,0.1118,1.5137,0.3475,0.1155,-0.254979,0.439469,0.404139,0.03532999999999997,-0.122,-0.08,0.0363,11.4615,48.96920424897503,55.33917256802087,57.36349235929929,41.77692881103242,41.39722325754752,57.36349235929929,41.39722325754752,15.96626910175177,41.58707603428997,56.351332463660086,48.558050689526645,49.38035780842341,49.57021058516585,48.3681979127842,14.764256429370114,0.8223071188967666,1.202012672381656,97.62392843831532,96.2308982482296,70.30842340663438,71.87849422288483,11.675363399180021,12.486023108460678,18.49608647036899,13.054416697726426
ligand-005-c-n-1,1,2,59,86.57124,2.143,2.295,0.17756,0.22924,-0.40636,0.1124,0.6356,-0.1237,0.0132,0.0181,-0.3772,0.0834,0.0075,0.1297,-0.0157,-0.0618,0.5069,0.0991,0.0693,-0.38713,-0.23577,-0.22369,0.18244,0.21886,0.22991,-0.38713,-0.04401,-0.22369,0.07692,-0.23577,-0.36723,-0.36723,0.17858,0.22991,0.18244,0.21886,0.2189,0.26616,0.051680000000000004,0.58392,0.035100000000000006,0.1369,0.004900000000000002,0.60644,0.4606,0.0759,0.53606,0.1454,0.0461,0.013574,0.018296,-0.406487,0.42478299999999997,0.114,-0.02,0.0016,2.1706,46.75095508758852,37.83544539694372,53.053950801341784,70.81625046589639,25.298173686172195,70.81625046589639,25.298173686172195,45.5180767797242,48.05721207603429,45.444698099142755,54.32584793142006,39.17606224375699,61.935100633619086,31.56680954155796,2.6125139768915346,15.14978568766307,30.368291092061128,64.34029071934401,88.2920238538949,40.77525158404771,96.85054043980618,44.78196049198658,9.821095788296683,17.81587774878867,11.330600074543423
ligand-006-c-n-2,1,2,44,86.23337,2.145,2.253,0.17159,0.23504,-0.40535,0.1145,0.6404,-0.1164,0.0121,0.0393,-0.3687,0.0852,0.0024,0.1358,-0.017,-0.0206,0.5045,0.1022,0.023,-0.37656,-0.24722,-0.22806,0.1858,0.21913,0.22631,-0.37656,-0.07652,-0.22806,0.08575,-0.24722,-0.36077,-0.36077,0.18845,0.22631,0.1858,0.21913,0.21986,0.25678999999999996,0.06345,0.57694,0.031200000000000006,0.1285,0.027200000000000002,0.60374,0.4539,0.0828,0.54115,0.1528,0.003599999999999999,0.038316,0.056393,-0.426431,0.48282400000000003,0.056,-0.0179,0.0132,2.2039,42.41345974655237,38.944278792396574,48.327431979127844,56.58544539694372,25.796682817741335,56.58544539694372,25.796682817741335,30.788762579202384,41.19106410734253,43.63585538576221,47.76486209467015,37.06205739843459,52.45643868803578,32.37048080506895,2.444791278419686,10.70280469623556,20.08595788296683,68.76630637346254,82.63604174431607,51.11815132314573,87.18319045844204,25.987700335445396,0.4752143123369363,14.018822213939618,9.1222512113306
ligand-007-c-n-3,1,2,43,86.34248,2.141,2.287,0.17783,0.23331,-0.40998,0.1168,0.6433,-0.1164,0.0108,0.0416,-0.3694,0.0847,0.0054,0.1366,-0.0184,-0.0207,0.506,0.1031,0.0261,-0.37859,-0.24957,-0.23,0.18633,0.21741,0.22753,-0.37859,-0.07984,-0.23,0.08695,-0.24957,-0.36021,-0.36021,0.19003,0.22753,0.18633,0.21741,0.2195,0.26613,0.05548,0.5878099999999999,0.0281,0.1272,0.030799999999999998,0.60271,0.4541,0.0793,0.5465800000000001,0.155,0.0023,0.035584,0.07227,-0.43873,0.511,0.0627,-0.001,0.0105,2.2278,44.88038110324264,33.970834886321285,52.301528140141635,68.72204621692136,24.527115169586285,68.72204621692136,24.527115169586285,44.194931047335075,46.62458069325382,43.13618151323146,51.34644055162132,38.41432165486396,60.51178717853149,29.248975027953783,3.4883991800223555,12.932118896757359,31.26281215057771,60.27767424524786,87.77953783078644,41.394893775624304,94.51174058889303,42.932351844949686,7.659336563548266,16.82351844949683,7.663995527394707
ligand-008-c-n-4,1,2,39,86.57287,2.138,2.268,0.1714,0.23752,-0.40746,0.1161,0.645,-0.1155,0.0124,0.0395,-0.3672,0.0868,0.0028,0.1362,-0.0179,-0.0205,0.5034,0.1047,0.0233,-0.37531,-0.24881,-0.22921,0.1864,0.21853,0.22644,-0.37531,-0.07802,-0.22921,0.08591,-0.24881,-0.35912,-0.35912,0.18908,0.22644,0.1864,0.21853,0.21948,0.2564,0.06612000000000001,0.5788599999999999,0.0305,0.1279,0.0271,0.60472,0.454,0.084,0.54366,0.1541,0.0026000000000000016,0.054224,0.075166,-0.433716,0.508882,0.0645,-0.0382,0.0316,2.1658,40.84105944837868,27.88855758479314,50.60799478196049,62.06205739843459,22.805628028326502,62.06205739843459,22.805628028326502,39.25642937010809,42.43384271338054,39.24827618337682,44.97530749161386,36.7068114051435,56.335026090197545,25.34709280655982,3.185566530003726,8.268496086470364,30.987933283637723,52.129146477823326,85.73891166604547,45.35501304509877,91.27376071561685,32.850354081252334,0.25624301155423035,15.477077897875514,3.647968691762952
ligand-009-c-n-5,1,2,28,86.33142,2.118,2.298,0.16232,0.25084,-0.41134,0.1154,0.6622,-0.1139,0.0134,0.0316,-0.3667,0.0905,-0.0076,0.1389,-0.0196,-0.0202,0.5056,0.1101,0.0126,-0.37548,-0.25058,-0.22961,0.18796,0.21484,0.22857,-0.37548,-0.07985,-0.22961,0.08985,-0.25058,-0.35785,-0.35785,0.18968,0.22857,0.18796,0.21484,0.21943,0.24251999999999999,0.08852000000000002,0.57366,0.03370000000000001,0.1273,0.0182,0.61754,0.45720000000000005,0.09809999999999999,0.55024,0.1585,0.0005999999999999998,0.085327,0.114711,-0.453265,0.5679759999999999,0.0396,-0.0172,0.0023,2.3143,42.32493943346999,67.83218412225122,21.289135296310096,28.394055162131945,51.78438315318673,67.83218412225122,21.289135296310096,46.54304882594113,40.089219157659336,44.56065970928066,48.113119642191585,36.536759224748415,24.84159522922102,59.80828363771897,4.4714405516213205,11.57636041744317,34.96668840849795,96.88315318673128,39.90402534476332,88.1895266492732,54.77077897875513,2.017331345508759,15.37923965710026,2.674245247856877,38.78121505777115
ligand-010-c-n-6,1,2,38,86.21551,2.156,2.28,0.21037,0.24496,-0.41387,0.1205,0.6588,-0.0308,0.0118,0.0475,-0.372,0.0871,0.0144,0.1398,-0.0195,-0.0225,0.5118,0.1066,0.0369,-0.37197,-0.25354,-0.22756,0.19335,0.21821,0.23263,-0.37197,-0.06159,-0.22756,0.08618,-0.25354,-0.37197,-0.37197,0.18746,0.23263,0.19335,0.21821,0.21787,0.29487,0.03459000000000001,0.62424,0.053700000000000005,0.0426,0.0357,0.61696,0.4591,0.0727,0.55367,0.1593,0.002999999999999999,-0.120742,-0.021518,-0.371255,0.349737,0.1249,-0.0772,-0.0125,2.2302,52.377818673127095,60.771524412970564,55.611721953037645,70.50409988818487,22.623928438315318,70.50409988818487,22.623928438315318,47.88017144986955,46.56401416325009,58.191623183004104,65.63781215057772,39.11782519567648,63.057910920611256,41.69772642564294,11.627609019754011,26.519986954901235,21.360184494968316,94.7027581065971,93.01621319418561,41.082743197912784,96.16101379053299,44.84718598583675,4.165113678717853,18.20723071188968,26.84029071934402
