lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment
298,CH2CH(CH2)9OH-ethylene,12,1.0,11
293,FOA-ethylene,2,0.6666666666666666,2
080,H2-oct-1-ene,0,0.0,24
220,CH2CH(CH2)9Cl-norbonene,0,0.0,3
127,ethylene-tert-butyl-10-undecenoate,2,1.0,1
337,NB-OCOMe-ethylene,2,0.6666666666666666,2
096,6FA-ethylene,4,0.5,15
277,butyl acrylate-ethylene,12,0.9230769230769231,12
243,ethylene-methyl vinyl ketone,2,0.6666666666666666,2
383,allyl butyl ether-ethylene,4,1.0,3
078,1-hexene-ethylene,4,1.0,3
398,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,5
230,CH2CH(CH2)4OH-norbonene,0,0.0,6
460,CH2CH(CH2)8CO2Me-ethylene,0,0.0,3
116,6FA-ethylene,4,1.0,3
131,ethylene-vinyl chloride,6,0.6,25
058,R-BOH2-R-OH,0,0.0,4
256,ethylene-vinyl acetate,14,1.0,33
419,PhI-norbonene,0,0.0,9
053,allyl acetate-norbonene,0,0.0,3
153,CH2CH(CH2)9Cl-norbonene,0,0.0,3
228,butyl acrylate-ethylene,12,0.9230769230769231,12
152,ethylene-vinyl acetate,12,1.0,11
116,ethylene-tert-butyl-10-undecenoate,2,1.0,1
021,R-Br-R-C=C,0,0.0,4
320,allyl trimethoxysilane-ethylene,0,0.0,1
446,CH2CH(CH2)8COOH-ethylene,10,1.0,16
146,ethylene-methyl methacrylate,6,1.0,5
337,R-Br-R-SH,0,0.0,8
300,allyl pivalate-ethylene,2,1.0,1
100,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,30
245,CH2CH(CH2)8CO2Me-ethylene,4,0.5714285714285714,12
326,ethylene-vinyl triethoxysilane,0,0.0,1
445,acrylic acid-ethylene,18,1.0,17
350,ethylene-vinyl chloride,8,0.8888888888888888,20
386,ethylene-vinyl chloride,5,0.8333333333333334,5
139,DMAA-ethylene,6,1.0,8
097,DMAA-ethylene,5,0.5555555555555556,20
248,diallyl ether-ethylene,7,1.0,10
391,allyl ethyl ether-ethylene,4,1.0,3
467,ethyl vinyl ether-ethylene,0,0.0,2
391,N-isopropylacrylamide-ethylene,3,1.0,2
077,R-BOH2-R-Cl,0,0.0,1
086,CH2CH(CH2)9Br-ethylene,3,0.6,6
441,CO2-ethylene,3,0.0967741935483871,108
286,methyl acrylate-norbonene,6,1.0,5
340,ethyl vinyl ether-ethylene,3,1.0,2
138,CO_nonalt-ethylene,8,0.34782608695652173,42
091,DMAA-ethylene,6,0.8571428571428571,12
415,R-Br-R-SiOMe3,2,1.0,1
151,acrylonitrile-ethylene,13,1.0,12
420,CH2CH(CH2)9OH-ethylene,0,0.0,22
084,ethylene-methyl vinyl ketone,4,1.0,3
226,allyl ethyl ether-ethylene,4,1.0,3
146,none-propylene,10,0.7142857142857143,13
357,CH2CH(CH2)4Cl-ethylene,14,1.0,24
237,CH2CH(CH2)4Cl-ethylene,13,1.0,12
357,N-isopropylacrylamide-ethylene,4,1.0,4
385,diallyl ether-ethylene,3,1.0,2
237,N-isopropylacrylamide-ethylene,3,1.0,2
010,CH2CH(CH2)4Cl-ethylene,0,0.0,12
354,allyl cyanide-propylene,0,0.0,2
276,ethylene-norbonene,15,0.5172413793103449,54
010,N-isopropylacrylamide-ethylene,0,0.0,2
341,NB-OCOMe-ethylene,2,0.6666666666666666,2
406,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",2,1.0,1
421,CH2CH(CH2)4OAc-ethylene,0,0.0,2
466,5-norbornene-2-yl acetate-ethylene,0,0.0,7
151,5-hexenyl acetate-ethylene,3,1.0,2
389,1-hexene-ethylene,4,1.0,3
274,ethylene-vinyl trimethoxysilane,9,1.0,8
441,CH2CH(CH2)9Br-ethylene,5,0.8333333333333334,8
176,R-Br-R-C=C,0,0.0,4
184,NB-COOH-ethylene,4,1.0,3
465,ethylene-vinyl acetate,0,0.0,11
206,R-BOH2-R-Br,2,0.10526315789473684,18
085,ethylene-vinyl chloride,6,0.5454545454545454,30
351,CH2CH(CH2)9Cl-norbonene,0,0.0,3
005,CH2CH(CH2)8CO2Me-ethylene,0,0.0,3
369,5-norbornene-2-yl acetate-ethylene,12,1.0,35
046,FOA-ethylene,0,0.0,2
031,ethyl acrylate-ethylene,0,0.0,2
452,5-norbornene-2-yl acetate-ethylene,8,1.0,7
365,R-Br-R-C=C,0,0.0,8
132,allyl trimethoxysilane-ethylene,2,0.3333333333333333,5
170,allyl trimethoxysilane-ethylene,2,1.0,1
341,R-Br-R-SH,0,0.0,8
216,allyl ethyl ether-norbonene,0,0.0,3
088,6FA-ethylene,4,0.5714285714285714,12
232,2-vinylfuran-ethylene,5,0.7142857142857143,6
355,ethylene-methyl vinyl ketone,3,0.75,3
275,ethylene-styrene,3,1.0,2
201,ethylene-vinyl acetate,12,1.0,11
383,CH2CH(CH2)8CO2Me-ethylene,4,1.0,3
090,ethylene-methyl 10-undecenoate,23,0.92,84
403,H2-oct-1-ene,0,0.0,24
304,R-Br-R-SiOMe3,0,0.0,1
349,none-norbonene,7,0.4375,60
251,allyl cyanide-propylene,0,0.0,6
401,H2-oct-1-ene,0,0.0,24
428,ethylene-methyl methacrylate,0,0.0,5
144,1-butene-none,3,0.5,8
197,allyl acetate-ethylene,23,0.9583333333333334,23
422,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,10
088,ethylene-tert-butyl-10-undecenoate,3,0.6,4
270,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",3,0.5,5
314,ethylene-vinyl chloride,6,0.6,25
059,ethylene-isobornyl acrylate,0,0.0,1
163,allyl methyl ether-ethylene,4,0.6666666666666666,5
054,ethylene-isobornyl acrylate,0,0.0,1
455,CH2CH(CH2)9Cl-ethylene,3,1.0,2
388,none-norbonene,6,0.5454545454545454,10
017,allyl acetate-propylene,0,0.0,3
098,butyl vinyl ether-ethylene,21,1.0,20
210,1-butene-none,3,1.0,2
114,ethyl acrylate-ethylene,0,0.0,1
057,CH2CH(CH2)9Cl-ethylene,0,0.0,2
290,ethylene-vinyl chloride,6,0.75,15
196,allyl cyanide-propylene,0,0.0,12
168,CO2-ethylene,3,0.10344827586206896,54
232,PhI-norbonene,0,0.0,3
159,ethyl acrylate-ethylene,0,0.0,1
198,CH2CH(CH2)9OH-ethylene,14,0.875,55
296,ethylene-methyl 10-undecenoate,22,1.0,21
310,allyl ethyl ether-norbonene,0,0.0,15
428,none-propylene,0,0.0,13
429,allyl chloride-ethylene,11,1.0,10
370,allyl chloride-ethylene,11,1.0,10
240,1-butene-none,0,0.0,18
212,CH2CH(CH2)4Cl-ethylene,13,1.0,12
319,ethylene-ethylene glycol monoacrylate,2,0.5,3
029,R-BOH2-R-Br,2,0.10526315789473684,18
144,ethylene-methyl acrylate,105,0.9210526315789473,440
038,ethylene-tert-butyl acrylate,14,0.4375,256
441,allyl pivalate-propylene,5,0.8333333333333334,8
168,CH2CH(CH2)9Br-ethylene,3,0.75,4
192,allyl ethyl ether-ethylene,3,0.75,3
348,CO2-ethylene,3,0.10344827586206896,54
016,CH2CH(CH2)9OH-ethylene,0,0.0,11
205,butyl vinyl ether-ethylene,21,1.0,20
456,2-vinylfuran-ethylene,3,0.42857142857142855,6
271,norbonene-styrene,0,0.0,6
113,ethylene-tert-butyl acrylate,7,0.4117647058823529,16
224,6FA-ethylene,4,1.0,3
092,allyl chloride-ethylene,12,0.8571428571428571,40
158,5-norbornene-2-yl acetate-ethylene,8,1.0,7
177,ethylene-vinyl chloride,5,0.8333333333333334,5
087,CH2CH(CH2)9Cl-norbonene,0,0.0,9
015,methyl acrylate-norbonene,0,0.0,5
105,ethylene-vinyl trimethoxysilane,9,1.0,8
272,ethylene-tert-butyl acrylate,12,0.5714285714285714,80
240,ethylene-methyl acrylate,5,0.04201680672268908,990
311,allyl pivalate-ethylene,2,1.0,1
348,CH2CH(CH2)9Br-ethylene,4,1.0,4
115,CH2CH(CH2)4Br-ethylene,5,1.0,4
208,CH2CH(CH2)4Cl-ethylene,13,1.0,12
283,1-butene-none,3,1.0,2
208,N-isopropylacrylamide-ethylene,3,1.0,2
331,ethylene-tert-butyl acrylate,9,0.5,32
421,none-propylene,0,0.0,26
059,allyl acetate-norbonene,0,0.0,3
402,DMAA-ethylene,6,0.75,16
285,PhI-norbonene,0,0.0,9
110,R-BOH2-R-Cl,0,0.0,1
171,allyl ethyl ether-norbonene,0,0.0,3
186,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,10
456,PhI-norbonene,0,0.0,3
309,ethylene-ethylene glycol monoacrylate,7,0.7,21
163,NB-CH2OH-ethylene,6,0.75,15
445,CO_nonalt-ethylene,7,0.3181818181818182,21
246,ethylene-isobornyl acrylate,3,1.0,2
199,H2-oct-1-ene,0,0.0,6
394,allyl chloride-ethylene,11,1.0,10
203,allyl chloride-propylene,0,0.0,1
283,ethylene-methyl acrylate,102,0.918918918918919,110
345,CH2CH(CH2)9Br-ethylene,4,1.0,4
398,diallyl ether-ethylene,3,1.0,2
013,allyl methyl ether-ethylene,0,0.0,2
262,methyl 10-undecenoate-norbonene,0,0.0,3
058,CH2CH(CH2)8CO2Me-ethylene,0,0.0,3
316,allyl ethyl ether-ethylene,0,0.0,3
397,butyl vinyl ether-ethylene,21,1.0,20
149,ethylene-tert-butyl acrylate,7,0.4117647058823529,16
157,CH2CH(CH2)4Br-ethylene,5,1.0,4
406,C-H-R-Br,0,0.0,1
142,ethylene-tert-butyl acrylate,8,0.47058823529411764,16
326,methyl acrylate-norbonene,0,0.0,5
397,R-BOH2-R-Cl,0,0.0,1
252,NB-OCOMe-ethylene,2,0.5,3
451,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,5
115,NB-COOH-ethylene,4,1.0,3
260,allyl methyl ether-ethylene,2,0.2857142857142857,6
320,ethylene-tert-butyl vinyl ether,0,0.0,1
390,ethyl vinyl ether-ethylene,3,1.0,2
213,R-Br-R-SiOMe3,0,0.0,1
223,ethylene-tert-butyl acrylate,7,0.4117647058823529,16
321,CH2CH(CH2)9OH-ethylene,2,0.16666666666666666,11
417,5-norbornene-2-yl acetate-ethylene,0,0.0,7
328,CH2CH(CH2)4Br-norbonene,0,0.0,3
056,Aryl halide-Phenylboronic acid,0,0.0,5
243,ethyl acrylate-ethylene,0,0.0,2
368,R-Br-R-C=C,0,0.0,20
261,ethylene-styrene,3,1.0,2
021,4-penten-1-ol-ethylene,0,0.0,1
168,allyl pivalate-propylene,3,0.75,4
338,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,10
209,ethylene-vinyl trimethoxysilane,9,1.0,8
341,methyl acrylate-propylene,4,0.8,6
167,allyl methyl ether-ethylene,2,0.6666666666666666,2
095,2-vinylfuran-ethylene,0,0.0,6
182,ethylene-tert-butyl acrylate,7,0.4117647058823529,16
060,R-Br-R-C=C,0,0.0,4
313,allyl chloride-ethylene,5,0.45454545454545453,10
152,allyl acetate-propylene,3,0.75,3
405,CH2CH(CH2)9Br-ethylene,3,1.0,2
259,ethylene-methyl 10-undecenoate,22,0.9565217391304348,42
455,norbonene-styrene,0,0.0,3
432,6FA-ethylene,0,0.0,3
252,R-Br-R-SH,0,0.0,12
330,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,10
102,ethylene-vinyl trimethoxysilane,10,1.0,16
111,acrylonitrile-ethylene,13,1.0,12
134,allyl trimethoxysilane-ethylene,2,0.5,3
246,allyl acetate-norbonene,0,0.0,6
348,allyl pivalate-propylene,4,1.0,4
277,allyl acetate-ethylene,23,0.9583333333333334,23
080,R-Br-R-C=C,0,0.0,16
013,dodecyl acrylate-ethylene,0,0.0,2
106,CH2CH(CH2)9Cl-ethylene,4,1.0,4
074,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,5
093,butyl acrylate-ethylene,12,0.9230769230769231,12
111,5-hexenyl acetate-ethylene,3,1.0,2
327,none-norbonene,0,0.0,10
308,R-Br-R-SH,0,0.0,16
018,ethylene-styrene,0,0.0,2
013,5-hexene-1-yl-acetate-ethylene,0,0.0,6
157,NB-COOH-ethylene,4,1.0,3
298,CH2CH(CH2)9Cl-ethylene,3,1.0,2
299,ethylene-tert-butyl-10-undecenoate,2,1.0,1
