lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
278,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,BrC1=CSC(P(C2=CC=CC=C2OC)C3=CC=CC=C3OC)=C1P(C4=CC=CC=C4)(C5=CC=CC=C5)=O,p-o-85
304,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=S(C1=CC=CC=C1P2N(C3=C(C)C=C(C)C=C3C)CCN2C4=C(C)C=C(C)C=C4C)(O)=O,p-o-116
100,CO2-ethylene,3,0.10714285714285714,75,1,2,0.5,58,4,232,O=P(C)(C)CP(C(C)(C)C)C(C)(C)C,p-o-26
457,CO2-ethylene,0,0.0,25,1,2,0.5,58,4,232,O=S(C1=CC=CC=C1P(C2=C(C)C=CC=C2)C3=CC=CC=C3C)([O])=O,p-o-154
351,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,OS(C1=CC=CC=C1P(C2=C(C3=CC=CN3C)C=CC=C2)C4=CC=CC=C4)(=O)=O,p-o-130
109,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,[O]S(C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3)(=O)=O,p-o-35
280,CO2-ethylene,0,0.0,0,1,2,0.5,58,4,232,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(P(C4CCCCC4)C5CCCCC5)SC6=C3C=CC=C6,p-o-87
260,CO2-ethylene,0,0.0,75,1,2,0.5,58,4,232,OC1=C(C2=C(C)C=C(C)C=C2C)C=CC3=C1N4C(C=C3)=CN(C5=C(C(C)C)C=CC=C5C(C)C)C4,c-o-10
295,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=S(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)(N(C4CCCCC4)C5CCCCC5)=O,p-o-107
289,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-101
294,CO2-ethylene,3,0.0967741935483871,150,1,2,0.5,58,4,232,O=P(N(C)C)(N(C)C)C1=CC=C(N(C)C)C=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,p-o-106
90,CO2-ethylene,3,0.10344827586206896,100,1,2,0.5,58,4,232,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=CC=C3)P(C4=C(C5=CC=CC=C5)C=CC=C4)C6=CC=CC=C6,p-o-16
38,CO2-ethylene,3,0.07692307692307693,350,1,2,0.5,58,4,232,CC1=CC(C)=CC(C)=C1N(C2)CCN2CP(C3CCCCC3)C4CCCCC4,p-o-2
290,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=P(N(C)C)(N(C)C)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-o-102
340,CO2-ethylene,0,0.0,0,1,2,0.5,58,4,232,OS(C1=CC(C)=CC=C1CP(C2CCCCC2)C3CCCCC3)(=O)=O,p-o-125
261,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=P(C(C)(C)C)(C(C)(C)C)CP(C1=C(OC)C=CC=C1)C2=CC=CC=C2OC,p-o-72
277,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,C(/C1=N/C2=CC=CC3=C2C(C4=CC=CC=C4)=CC=C3)(C5=C6C(C=CC=C61)=CC=C5)=N\C7=C(C=CC=C8C9=CC=CC=C9)C8=CC=C7,n-n-24
296,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=S(C1=CC=CC=C1P(OC2=CC=C(OC)C=C2)OC3=CC=C(OC)C=C3)(N(C4CCCCC4)C5CCCCC5)=O,p-o-108
274,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-83
254,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,OS(C1=CC=CC=C1P(C(CC(C)C)CC(C)C)C(CC(C)C)CC(C)C)(=O)=O,p-o-69
248,CO2-ethylene,3,0.1,125,1,2,0.5,58,4,232,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC2=CN(C3=C(C(C)C)C=CC=C3C(C)C)CN21,c-o-4
266,CO2-ethylene,0,0.0,100,1,2,0.5,58,4,232,O=P(C)(C)CP(C1=C(C)C=C(C)C=C1C)C2=C(C)C=C(C)C=C2C,p-o-75
253,CO2-ethylene,0,0.0,25,1,2,0.5,58,4,232,OS(C1=CC=CC=C1P(C(CC)CC)C(CC)CC)(=O)=O,p-o-68
246,CO2-ethylene,3,0.1111111111111111,50,1,2,0.5,58,4,232,O=S([N-]C1=CC=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=CC=C4C(C)C)C3)(C5=C(C)C=C(C)C=C5C)=O,c-n-8
302,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=S(C1=CC=CC=C1P2N(C3=C([H])C=C([H])C=C3C)CCN2C4=C(C)C=C([H])C=C4[H])(O)=O,p-o-114
349,CO2-ethylene,3,0.10714285714285714,75,1,2,0.5,58,4,232,OS(C1=CC=CC=C1P(C2=C(C3=CC=CO3)C=CC=C2)C4=CC=CC=C4)(=O)=O,p-o-128
455,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,CC(/C(C)=N/C1=C(C2=CC=C(C(C)(C)C)C=C2)C=CC=C1C3=CC=C(C(C)(C)C)C=C3)=N\C4=C(C5=CC=C(C(C)(C)C)C=C5)C=CC=C4C6=CC=C(C(C)(C)C)C=C6,n-n-22
292,CO2-ethylene,3,0.11538461538461539,25,1,2,0.5,58,4,232,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-o-104
411,CO2-ethylene,0,0.0,0,1,2,0.5,58,4,232,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(OC3=CC=C(OC)C=C3)OC4=CC=C(OC)C=C4,p-o-95
95,CO2-ethylene,0,0.0,25,1,2,0.5,58,4,232,OC(C(C(C1=CC(C(C)(C)C)=CC(C(C)(C)C)=C1)=CC=C2)=C2C=C3)=C3P(C4=C(OC)C=CC=C4OC)C5=C(OC)C=CC=C5OC,p-o-21
354,CO2-ethylene,0,0.0,25,1,2,0.5,58,4,232,OC1=C(OCCOC)C=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=CC=C4C(C)C)C3,c-o-11
462,CO2-ethylene,0,0.0,0,1,2,0.5,58,4,232,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(C(C)(C)C)C=C3)P(C4=CC=CC=C4C5=C(OC)C=CC=C5OC)C6=CC=CC=C6,p-o-159
137,CO2-ethylene,0,0.0,0,1,2,0.5,58,4,232,O=P(OCC)(OCC)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=CC=CC=C3OC,p-o-40
