lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
315,CO_alt-ethylene,0,0.0,13,0,2,0.0,58,1,58,too long,n-n-29
293,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C2=C(F)C=CC=C2F)C3=C(F)C=CC=C3F,p-o-105
255,CO_alt-ethylene,0,0.0,8,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C2=C(C)C=C(C)C=C2C)C3=C(C)C=C(C)C=C3C)(=O)=O,p-o-70
460,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(OC)C=C3)P(C4=CC=CC=C4)C5=CC=CC=C5,p-o-157
91,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(OC)C=C3)[P@@](C4=C(C5=CC=CC=C5)C=CC=C4)C6=CC=CC=C6,p-o-17
84,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,[O-]C(C(C(C)(C)C)=CC=C1)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,p-o-10
109,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,[O]S(C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3)(=O)=O,p-o-35
248,CO_alt-ethylene,0,0.0,5,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC2=CN(C3=C(C(C)C)C=CC=C3C(C)C)CN21,c-o-4
309,CO_alt-ethylene,0,0.0,6,0,2,0.0,58,1,58,CC(C1=CC=CC(C(C)C)=C1/N=C(C2=CC=CC3=CC=CC4=C23)/C4=N/C5=C(C(C)C)C=CC=C5C(C)C)C,n-n-27
277,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,C(/C1=N/C2=CC=CC3=C2C(C4=CC=CC=C4)=CC=C3)(C5=C6C(C=CC=C61)=CC=C5)=N\C7=C(C=CC=C8C9=CC=CC=C9)C8=CC=C7,n-n-24
88,CO_alt-ethylene,0,0.0,4,0,2,0.0,58,1,58,O=S(C1=C([Si](C)(C)C)C=CC=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C4=CC=CC=C4)(O)=O,p-o-14
339,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,CC(C(C=CC=C1C(C)C)=C1/N=C(C2=C3C(C=C(OC)C=C34)=CC(OC)=C2)/C4=N/C5=C(C(C)C)C=CC=C5C(C)C)C,n-n-47
341,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,OS(C1=CC(C)=CC=C1CP(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3)(=O)=O,p-o-126
90,CO_alt-ethylene,0,0.0,4,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=CC=C3)P(C4=C(C5=CC=CC=C5)C=CC=C4)C6=CC=CC=C6,p-o-16
281,CO_alt-ethylene,0,0.0,8,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(P(C4=CC=CC=C4OC)C5=CC=CC=C5OC)SC6=C3C=CC=C6,p-o-88
137,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(OCC)(OCC)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=CC=CC=C3OC,p-o-40
99,CO_alt-ethylene,0,0.0,9,0,2,0.0,58,1,58,[*]C1=C(C2=C(F)C=CC=C2F)C=CC=C1,p-o-25
39,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,CC1=CC(C)=CC(C)=C1N(C2)C3=C(C=CC=C3)N2CP(C4CCCCC4)C5CCCCC5,p-o-3
92,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=S(C1=CC=C(C)C=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)([O])=O,p-o-18
285,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(OCC)(OCC)C1=CC=C(C)C=C1P(C2=CC=C(C(C)(C)C)C=C2)C3=CC(C)=CC=C3P(OCC)(OCC)=O,p-o-93
110,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,[O]S(C1=CC=CC=C1P(C2=CC=CC=C2OC3=CC=CC=C3)C4=CC=CC=C4)(=O)=O,p-o-36
288,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(CCCCC)CCCCC,p-o-100
393,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=C(OC)C=CC=C3)(NC4=C(C(C)C)C=CC=C4C(C)C)=O,p-o-136
456,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=C(C)C=C1P(C2=C(C)C=CC=C2)C3=CC=CC=C3C)([O],p-o-153
295,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)(N(C4CCCCC4)C5CCCCC5)=O,p-o-107
310,CO_alt-ethylene,0,0.0,5,0,2,0.0,58,1,58,OS(C1=C([Si](C)(C)C)C=CC=C1P([C@@H]2C[C@H](C)CC[C@H]2C(C)C)[C@@H]3C[C@H](C)CC[C@H]3C(C)C)(=O)=O,p-o-119
183,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=C(C(C)C)C=CC=C3C(C)C)/C=N/C4=CC=CC=C4,n-o-34
254,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C(CC(C)C)CC(C)C)C(CC(C)C)CC(C)C)(=O)=O,p-o-69
