lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster
343,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
222,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
254,CO_nonalt-ethylene,7,0.3333333333333333,38,5,2,2.5,53,5,265
160,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
078,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
006,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
406,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
331,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
144,CO_nonalt-ethylene,6,0.2608695652173913,76,6,2,3.0,51,5,255
128,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
182,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
010,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
398,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
238,CO_nonalt-ethylene,6,0.2857142857142857,38,5,2,2.5,53,5,265
248,CO_nonalt-ethylene,7,0.30434782608695654,76,2,2,1.0,44,5,220
250,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
360,CO_nonalt-ethylene,8,0.38095238095238093,38,5,2,2.5,53,5,265
146,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
039,CO_nonalt-ethylene,4,0.19047619047619047,38,3,2,1.5,46,5,230
124,CO_nonalt-ethylene,7,0.30434782608695654,76,6,2,3.0,51,5,255
317,CO_nonalt-ethylene,2,0.1,19,2,2,1.0,44,5,220
175,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
126,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
451,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
027,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
297,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
015,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
256,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
378,CO_nonalt-ethylene,5,0.25,19,3,2,1.5,46,5,230
109,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
334,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
376,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
387,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
190,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
147,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
396,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
301,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
428,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
269,CO_nonalt-ethylene,10,0.43478260869565216,76,3,2,1.5,46,5,230
170,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
127,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
200,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
101,CO_nonalt-ethylene,7,0.3333333333333333,38,5,2,2.5,27,5,135
136,CO_nonalt-ethylene,2,0.1,19,3,2,1.5,46,5,230
134,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
122,CO_nonalt-ethylene,12,0.36363636363636365,266,5,2,2.5,53,5,265
057,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
293,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
244,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
019,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
347,CO_nonalt-ethylene,5,0.25,19,3,2,1.5,46,5,230
018,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
141,CO_nonalt-ethylene,5,0.25,19,5,2,2.5,27,5,135
129,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
169,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
246,CO_nonalt-ethylene,8,0.38095238095238093,38,6,2,3.0,51,5,255
420,CO_nonalt-ethylene,0,0.0,38,2,2,1.0,44,5,220
177,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
072,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
419,CO_nonalt-ethylene,0,0.0,38,2,2,1.0,44,5,220
115,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
348,CO_nonalt-ethylene,8,0.38095238095238093,38,5,2,2.5,53,5,265
437,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
161,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
108,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
036,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
272,CO_nonalt-ethylene,11,0.4583333333333333,95,2,2,1.0,44,5,220
165,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
319,CO_nonalt-ethylene,2,0.1,19,2,2,1.0,44,5,220
337,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
294,CO_nonalt-ethylene,4,0.19047619047619047,38,5,2,2.5,27,5,135
445,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
227,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
397,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
215,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
417,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
394,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
047,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
395,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
276,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
011,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
328,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
353,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
022,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
