lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
315,CO_nonalt-ethylene,13,0.419354839,228,17,2,8.5,58,3,174,too long,n-n-29
99,CO_nonalt-ethylene,8,0.296296296,152,17,2,8.5,58,3,174,[*]C1=C(C2=C(F)C=CC=C2F)C=CC=C1,p-o-25
242,CO_nonalt-ethylene,0,0,152,17,2,8.5,58,3,174,OC1=C(/N=C2N(C3=C(C(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C3C(C6=CC=CC=C6)C7=CC=CC=C7)C=CN\2C8=C(C(C9=CC=CC=C9)C%10=CC=CC=C%10)C=CC=C8C(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=CC=C1,n-o-79
279,CO_nonalt-ethylene,11,0.423076923,133,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(P(C4=CC=CC=C4OC)C5=CC=CC=C5OC)SC6=C3C=CC=C6,p-o-86
281,CO_nonalt-ethylene,11,0.423076923,133,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(P(C4=CC=CC=C4OC)C5=CC=CC=C5OC)SC6=C3C=CC=C6,p-o-88
407,CO_nonalt-ethylene,12,0.48,114,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C2=C(OCCOC)C=CC=C2)C3=C(OCCOC)C=CC=C3)(=O)=O,p-o-138
294,CO_nonalt-ethylene,10,0.4,114,17,2,8.5,58,3,174,O=P(N(C)C)(N(C)C)C1=CC=C(N(C)C)C=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,p-o-106
305,CO_nonalt-ethylene,9,0.36,114,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P2N(C3=C(C(C)C)C=C([H])C=C3C(C)C)CCN2C4=C(C(C)C)C=C([H])C=C4C(C)C)(O)=O,p-o-117
272,CO_nonalt-ethylene,11,0.458333333,95,17,2,8.5,58,3,174,O=P(C)(C)C1=CC=CC=C1P(C2=CC=CC=C2C(F)(F)F)C3=C(C(F)(F)F)C=CC=C3,p-o-81
269,CO_nonalt-ethylene,11,0.458333333,95,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=C(OC)C=CC=C3,p-o-78
248,CO_nonalt-ethylene,9,0.375,95,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC2=CN(C3=C(C(C)C)C=CC=C3C(C)C)CN21,c-o-4
255,CO_nonalt-ethylene,8,0.333333333,95,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C2=C(C)C=C(C)C=C2C)C3=C(C)C=C(C)C=C3C)(=O)=O,p-o-70
267,CO_nonalt-ethylene,7,0.291666667,95,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C(C)C)C(C)C,p-o-76
97,CO_nonalt-ethylene,7,0.291666667,95,17,2,8.5,58,3,174,[*]C1=C(C2=C(OC)C=CC=C2OC)C=CC=C1,p-o-23
309,CO_nonalt-ethylene,5,0.208333333,95,17,2,8.5,58,3,174,CC(C1=CC=CC(C(C)C)=C1/N=C(C2=CC=CC3=CC=CC4=C23)/C4=N/C5=C(C(C)C)C=CC=C5C(C)C)C,n-n-27
310,CO_nonalt-ethylene,2,0.083333333,95,17,2,8.5,58,3,174,OS(C1=C([Si](C)(C)C)C=CC=C1P([C@@H]2C[C@H](C)CC[C@H]2C(C)C)[C@@H]3C[C@H](C)CC[C@H]3C(C)C)(=O)=O,p-o-119
90,CO_nonalt-ethylene,10,0.434782609,76,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=CC=C3)P(C4=C(C5=CC=CC=C5)C=CC=C4)C6=CC=CC=C6,p-o-16
270,CO_nonalt-ethylene,10,0.434782609,76,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2C(F)(F)F)C3=C(C(F)(F)F)C=CC=C3,p-o-79
408,CO_nonalt-ethylene,10,0.434782609,76,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C2=C(OCCOCCOC)C=CC=C2)C3=C(OCCOCCOC)C=CC=C3)(=O)=O,p-o-139
266,CO_nonalt-ethylene,8,0.347826087,76,17,2,8.5,58,3,174,O=P(C)(C)CP(C1=C(C)C=C(C)C=C1C)C2=C(C)C=C(C)C=C2C,p-o-75
88,CO_nonalt-ethylene,7,0.304347826,76,17,2,8.5,58,3,174,O=S(C1=C([Si](C)(C)C)C=CC=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C4=CC=CC=C4)(O)=O,p-o-14
96,CO_nonalt-ethylene,7,0.304347826,76,17,2,8.5,58,3,174,[*]C1=C(OC)C=C(OC)C=C1OC,p-o-22
100,CO_nonalt-ethylene,8,0.363636364,57,17,2,8.5,58,3,174,O=P(C)(C)CP(C(C)(C)C)C(C)(C)C,p-o-26
349,CO_nonalt-ethylene,8,0.363636364,57,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C2=C(C3=CC=CO3)C=CC=C2)C4=CC=CC=C4)(=O)=O,p-o-128
244,CO_nonalt-ethylene,8,0.363636364,57,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,p-o-64
85,CO_nonalt-ethylene,7,0.318181818,57,17,2,8.5,58,3,174,O=S(C1=C([H])C=CC=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C4CCCCC4)(O)=O,p-o-11
86,CO_nonalt-ethylene,7,0.318181818,57,17,2,8.5,58,3,174,O=S(C1=C(C2=C(F)C(F)=C(F)C(F)=C2F)C=CC=C1P(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C5=CC=CC=C5)(O)=O,p-o-12
183,CO_nonalt-ethylene,7,0.318181818,57,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=C(C(C)C)C=CC=C3C(C)C)/C=N/C4=CC=CC=C4,n-o-34
87,CO_nonalt-ethylene,7,0.318181818,57,17,2,8.5,58,3,174,O=S(C1=C([H])C=CC=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C(C)(C)C)(O)=O,p-o-13
