d_node,t_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of d in cluster,jaccard_coefficient_cluster,degree_d_cluster,degree_t,preferential_attachment_cluster
077,ethylene-vinyl chloride,0,0.0,0,2,2,1.0,53,4,212
146,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
347,ethylene-vinyl chloride,2,0.4,4,1,2,0.5,46,4,184
092,ethylene-vinyl chloride,5,0.625,16,2,2,1.0,53,4,212
402,ethylene-vinyl chloride,6,0.75,16,1,2,0.5,46,4,184
456,ethylene-vinyl chloride,3,0.6,4,2,2,1.0,53,4,212
419,ethylene-vinyl chloride,0,0.0,8,0,2,0.0,44,4,176
027,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,51,4,204
381,ethylene-vinyl chloride,2,0.4,4,1,2,0.5,46,4,184
176,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
016,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,51,4,204
245,ethylene-vinyl chloride,4,0.5,16,1,2,0.5,51,4,204
366,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
113,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
448,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,51,4,204
103,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,27,4,108
392,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
205,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
048,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,51,4,204
006,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,51,4,204
303,ethylene-vinyl chloride,0,0.0,0,2,2,1.0,53,4,212
369,ethylene-vinyl chloride,5,0.7142857142857143,12,0,2,0.0,44,4,176
455,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
125,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
444,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,51,4,204
340,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
141,ethylene-vinyl chloride,2,0.4,4,1,2,0.5,27,4,108
410,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,51,4,204
393,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
314,ethylene-vinyl chloride,4,0.5,16,1,2,0.5,46,4,184
465,ethylene-vinyl chloride,3,0.6,4,0,2,0.0,44,4,176
394,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
305,ethylene-vinyl chloride,6,0.5454545454545454,28,1,2,0.5,46,4,184
309,ethylene-vinyl chloride,6,0.6,24,2,2,1.0,53,4,212
295,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
376,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
213,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
388,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
231,ethylene-vinyl chloride,0,0.0,0,2,2,1.0,53,4,212
346,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,46,4,184
123,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
029,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,51,4,204
367,ethylene-vinyl chloride,2,0.4,4,0,2,0.0,44,4,176
399,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
142,ethylene-vinyl chloride,2,0.4,4,1,2,0.5,51,4,204
158,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
149,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
109,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
153,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,27,4,108
115,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
036,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
339,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,27,4,108
386,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
107,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,51,4,204
270,ethylene-vinyl chloride,6,0.8571428571428571,12,1,2,0.5,46,4,184
196,ethylene-vinyl chloride,6,0.6666666666666666,20,1,2,0.5,27,4,108
352,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
310,ethylene-vinyl chloride,2,0.2222222222222222,20,2,2,1.0,53,4,212
241,ethylene-vinyl chloride,0,0.0,28,2,2,1.0,53,4,212
042,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,46,4,184
276,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
349,ethylene-vinyl chloride,6,0.6,24,1,2,0.5,46,4,184
080,ethylene-vinyl chloride,5,0.7142857142857143,12,1,2,0.5,51,4,204
453,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
288,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
193,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
056,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,46,4,184
046,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
359,ethylene-vinyl chloride,2,0.4,4,2,2,1.0,53,4,212
259,ethylene-vinyl chloride,5,0.8333333333333334,8,2,2,1.0,53,4,212
308,ethylene-vinyl chloride,3,0.375,16,1,2,0.5,46,4,184
014,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,51,4,204
307,ethylene-vinyl chloride,5,0.5555555555555556,20,1,2,0.5,46,4,184
462,ethylene-vinyl chloride,3,0.6,4,2,2,1.0,53,4,212
