lig_id,ligand_name,exp_id,ref,substrate_comb,metal,substrate_1,substrate_2,solvent,temperature,"substrate_1_amount (gas: bar, liqu: mmol, solid: g)",substrate_2_amount,base,base_equiv_to_cat,additive,additive_equiv,substrate_ratio,volume_ml,activity_kg_mol,yield,mn,time_hr,incorporatio_ratio,ton
1,n-n-1,1,"ChemSusChem, 2011, 4, 1275 – 1279",CO2Ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,10,,4,,21,,3,,
1,n-n-1,2,"ChemSusChem, 2011, 4, 1275 – 1279",CO2Ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,100,,4,,56,,3,,
2,p-p-1,3,"ChemSusChem, 2011, 4, 1275 – 1279",CO2Ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,10,,4,,14,,48,,
2,p-p-1,4,"ChemSusChem, 2011, 4, 1275 – 1279",CO2Ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,100,,4,,29,,48,,
3,p-p-2,5,"ChemSusChem, 2011, 4, 1275 – 1279",CO2Ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,10,,4,,18,,24,,
3,p-p-2,6,"ChemSusChem, 2011, 4, 1275 – 1279",CO2Ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,100,,4,,48,,24,,
4,p-p-3,7,"ChemSusChem, 2011, 4, 1275 – 1279",CO2Ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,10,,4,,0,,24,,
4,p-p-3,8,"ChemSusChem, 2011, 4, 1275 – 1279",CO2Ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,100,,4,,0,,24,,
5,c-n-1,9,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,34,,12,,
6,c-n-2,10,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,85,,12,,
7,c-n-3,11,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,80,,12,,
8,c-n-4,12,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,108,,12,,
9,c-n-5,13,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,50,,12,,
10,c-n-6,14,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,65,,12,,
11,c-n-7,15,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
5,c-n-1,16,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,180,,12,,
6,c-n-2,17,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,677,,12,,
7,c-n-3,18,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,845,,12,,
8,c-n-4,19,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,728,,12,,
9,c-n-5,20,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,194,,12,,
10,c-n-6,21,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,814,,12,,
2,p-p-1,22,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,1200,,12,,
12,p-p-4,23,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,1500,,12,,
3,p-p-2,24,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,900,,12,,
13,p-p-5,25,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,1000,,12,,
71,n-n-2,26,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
72,n-n-3,27,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
7,c-n-3,28,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,DIPEA,500,"Zn, LiI","500, 250",0.2,2,,34,,12,,
