lig_id,ligand_name,SMILES,exp_id,ref,substrate_comb,metal,substrate_1,substrate_2,solvent,temperature,"substrate_1_amount (gas: bar, liqu: mmol, solid: g)",substrate_2_amount,base,base_equiv_to_cat,additive,additive_equiv,substrate_ratio,volume_ml,activity_kg_mol,yield,mn,time_hr,incorporatio_ratio,ton,,,,,,,,
1,n-n-1,CN(CCN(C)C)C,1,"ChemSusChem, 2011, 4, 1275 – 1279",CO2ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,10,,4,,21,,3,,,,,,,,,,
1,n-n-1,CN(CCN(C)C)C,2,"ChemSusChem, 2011, 4, 1275 – 1279",CO2ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,100,,4,,56,,3,,,,,,,,,,
2,p-p-1,P(CCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,3,"ChemSusChem, 2011, 4, 1275 – 1279",CO2ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,10,,4,,14,,48,,,,,,,,,,
2,p-p-1,P(CCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,4,"ChemSusChem, 2011, 4, 1275 – 1279",CO2ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,100,,4,,29,,48,,,,,,,,,,
3,p-p-2,P(CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,5,"ChemSusChem, 2011, 4, 1275 – 1279",CO2ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,10,,4,,18,,24,,,,,,,,,,
3,p-p-2,P(CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,6,"ChemSusChem, 2011, 4, 1275 – 1279",CO2ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,100,,4,,48,,24,,,,,,,,,,
4,p-p-3,P(CCCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,7,"ChemSusChem, 2011, 4, 1275 – 1279",CO2ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,10,,4,,0,,24,,,,,,,,,,
4,p-p-3,P(CCCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,8,"ChemSusChem, 2011, 4, 1275 – 1279",CO2ethylene,Ni,CO2,ethylene,dcm,25,,,,,ch3i,100,,4,,0,,24,,,,,,,,,,
5,c-n-1,CC(C1=CC=CC(C(C)C)=C1N2CN3C(C4=NC=CC=C4)=CC=CC3=C2)C,9,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,34,,12,,,,,,,,,,
6,c-n-2,CCC1=CC=CC(CC)=C1N2CN3C(C4=NC=CC(C(C)(C)C)=C4)=CC(C(C)(C)C)=CC3=C2,10,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,85,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,11,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,80,,12,,,,,,,,,,
8,c-n-4,CCCC1=CC=CC(C(C)C)=C1N2CN3C(C4=NC=CC(C(C)(C)C)=C4)=CC(C(C)(C)C)=CC3=C2,12,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,108,,12,,,,,,,,,,
9,c-n-5,CC(C=CC1=C2C=CC=C1)=C2N3CN4C(C5=NC=CC(C(C)(C)C)=C5)=CC(C(C)(C)C)=CC4=C3,13,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,50,,12,,,,,,,,,,
10,c-n-6,CC(C=C1C(C2=CC=CC=C2)C3=CC=CC=C3)=CC(C(C4=CC=CC=C4)C5=CC=CC=C5)=C1N6CN7C(C8=NC=CC(C(C)(C)C)=C8)=CC(C(C)(C)C)=CC7=C6,14,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,65,,12,,,,,,,,,,
