Filename,Ni_atom label,Methyl_atom_1 label,Methyl_atom_2 label,Hydrogens_methyl_1_label,Hydrogens_methyl_2_label,Ligand_atom_1 label,Ligand_atom_2 label,Atoms_distance_2 label,Atoms_distance_3 label,Atoms_distance_4 label,Atoms_distance_2_a label,Atoms_distance_3_a label,Atoms_distance_4_a label,Atoms_distance_2_b label,Atoms_distance_3_b label,Atoms_distance_4_b label,Atom label shortest paths
ligand-005-c-n-1,1,42,46,"[43, 45, 44]","[49, 47, 48]",2,59,"[50, 52, 61, 6]","[3, 4, 7, 51, 55, 56, 25]","[5, 8, 9, 20, 53, 54, 24, 58]","[6, 61]","[3, 4, 7, 25]","[5, 8, 9, 50, 20, 24]","[50, 52]","[51, 55, 56, 25]","[6, 53, 54, 24, 58]","[1, 2, 6, 25, 50, 59]"
ligand-008-c-n-4,1,23,27,"[25, 26, 24]","[30, 28, 29]",2,39,"[33, 85, 6, 31]","[32, 3, 36, 37, 4, 7, 22]","[34, 35, 5, 38, 8, 9, 18, 21]","[6, 85]","[3, 4, 7, 22]","[5, 8, 9, 18, 21, 31]","[31, 33]","[32, 36, 37, 22]","[34, 35, 38, 6, 21]","[1, 2, 6, 22, 31, 39]"
ligand-011-c-n-7,1,6,10,"[8, 9, 7]","[11, 12, 13]",2,22,"[16, 35, 4, 14]","[3, 5, 15, 19, 20, 27, 31]","[32, 36, 17, 18, 21, 23, 24, 25, 28]","[4, 35]","[3, 5, 27, 31]","[32, 36, 14, 23, 24, 25, 28]","[14, 16]","[5, 15, 19, 20]","[4, 17, 18, 21, 24, 25]","[1, 2, 4, 5, 14, 22]"
ligand-012-p-p-4,3,7,4,"[8, 10, 9]","[85, 6, 5]",1,11,"[2, 34, 68, 14, 17, 51]","[12, 13, 15, 16, 18, 19, 20, 35, 36, 37, 52, 53, 54, 69, 70, 71]","[21, 22, 23, 24, 25, 26, 38, 39, 40, 41, 42, 43, 55, 56, 57, 58, 59, 60, 72, 73, 74, 75, 76, 77]","[14, 17, 34]","[2, 35, 36, 37, 15, 16, 18, 19, 20]","[12, 13, 21, 22, 23, 24, 25, 26, 38, 39, 40, 41, 42, 43]","[2, 51, 68]","[69, 70, 71, 12, 13, 14, 52, 53, 54]","[15, 16, 55, 56, 57, 58, 59, 60, 72, 73, 74, 75, 76, 77]","[3, 1, 14, 2, 11]"
ligand-014-p-c-1,2,6,3,"[7, 8, 9]","[74, 4, 5]",1,47,"[10, 13, 52, 53, 30]","[32, 33, 11, 12, 14, 15, 16, 50, 48, 54, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 49, 51, 55, 56]","[10, 13, 30]","[32, 33, 11, 12, 14, 15, 16, 52, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 50]","[52, 53]","[10, 48, 50, 54]","[11, 12, 49, 51, 55, 56]","[2, 1, 10, 52, 47]"
ligand-020-p-c-7,2,7,3,"[9, 8, 10]","[4, 6, 5]",11,55,"[1, 37, 20, 59, 60]","[38, 39, 40, 12, 13, 14, 16, 21, 22, 23, 54, 61, 57]","[15, 17, 18, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 56, 58, 62, 63, 64]","[1, 20, 37]","[38, 39, 40, 12, 13, 14, 21, 22, 23]","[15, 16, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46]","[59, 60]","[16, 54, 57, 61]","[64, 14, 17, 18, 56, 58, 62, 63]","[2, 11, 1, 14, 16, 59, 55]"
ligand-032-p-p-11,3,4,8,"[6, 7, 5]","[11, 9, 10]",12,1,"[2, 15, 17, 19, 57, 28]","[13, 14, 16, 18, 20, 24, 29, 33, 37, 41, 45, 49, 53, 54, 55, 58, 59]","[21, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 36, 38, 39, 40, 42, 43, 44, 46, 47, 48, 50, 51, 52, 56, 60]","[2, 15, 17]","[37, 41, 13, 14, 45, 16, 49, 18, 55]","[38, 39, 40, 42, 43, 44, 46, 47, 48, 50, 51, 52, 56, 57, 60]","[19, 28, 57]","[33, 20, 53, 54, 55, 24, 58, 59, 29]","[2, 21, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 36, 56, 60]","[3, 12, 2, 55, 57, 1]"
ligand-038-p-o-2,46,51,47,"[52, 54, 53]","[49, 50, 48]",1,5,"[8, 9, 2, 4]","[32, 3, 6, 7, 13, 18, 22, 28]","[33, 37, 10, 12, 17, 19, 21, 23, 27, 29, 31]","[2, 8, 9]","[32, 3, 13, 18, 22, 28]","[33, 4, 37, 10, 12, 17, 19, 21, 23, 27, 29, 31]",[4],"[3, 6, 7]","[2, 10]","[46, 1, 2, 3, 4, 5]"
ligand-043-p-p-17,3,4,8,"[7, 6, 5]","[11, 9, 10]",12,1,"[2, 41, 17, 51, 21, 31]","[32, 33, 42, 43, 13, 14, 15, 18, 19, 52, 53, 22, 23]","[16, 20, 24, 25, 26, 34, 35, 36, 44, 45, 46, 54, 55, 56, 61, 62, 71, 72]","[2, 41, 51]","[42, 43, 13, 14, 15, 52, 53]","[71, 72, 44, 45, 46, 16, 17, 20, 54, 55, 56]","[17, 21, 31]","[32, 33, 15, 18, 19, 22, 23]","[34, 35, 36, 2, 16, 20, 24, 25, 26, 61, 62]","[3, 12, 2, 15, 17, 1]"
ligand-053-p-c-18,45,14,10,"[16, 15, 17]","[12, 11, 13]",19,46,"[2, 47, 48, 20, 31]","[32, 1, 33, 3, 41, 42, 49, 21, 22]","[4, 6, 18, 23, 24, 25, 26, 34, 35, 36, 43, 44, 50, 51]","[2, 20, 31]","[32, 1, 33, 3, 21, 22]","[34, 35, 36, 6, 4, 47, 18, 23, 24, 25, 26]","[47, 48]","[1, 41, 42, 49]","[2, 6, 43, 44, 50, 51]","[45, 19, 2, 1, 47, 46]"
