Name,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,NBO-dist-2-avg,NBO-dist-3-avg,NBO-dist-4-avg,NBO-dist-2-a-avg,NBO-dist-3-a-avg,NBO-dist-4-a-avg,NBO-dist-2-b-avg,NBO-dist-3-b-avg,NBO-dist-4-b-avg,NBO-dist-2-a-b-diff,NBO-dist-3-a-b-diff,NBO-dist-4-a-b-diff,NBO-dist-2-min,NBO-dist-3-min,NBO-dist-4-min,NBO-dist-2-max,NBO-dist-3-max,NBO-dist-4-max,NBO-dist-2-a-min,NBO-dist-3-a-min,NBO-dist-4-a-min,NBO-dist-2-b-min,NBO-dist-3-b-min,NBO-dist-4-b-min,NBO-dist-2-a-max,NBO-dist-3-a-max,NBO-dist-4-a-max,NBO-dist-2-b-max,NBO-dist-3-b-max,NBO-dist-4-b-max,NBO-metal-donor-diff,NBO-metal-a-diff,NBO-metal-b-diff,NBO-dist-2-1-avg-diff,NBO-dist-3-2-avg-diff,NBO-dist-4-3-avg-diff,NBO-dist-2-1-a-avg-diff,NBO-dist-3-2-a-avg-diff,NBO-dist-4-3-a-avg-diff,NBO-dist-2-1-b-avg-diff,NBO-dist-3-2-b-avg-diff,NBO-dist-4-3-b-avg-diff,Metal_mullkien,A_mulliken,B_mulliken,A-B_mulliken,Mulliken-dist-2-avg,Mulliken-dist-3-avg,Mulliken-dist-4-avg,Total internal angle deviation %,Total % VBur,% VBur SE,% VBur SW,% VBur NE,% VBur NW,% VBur max,% VBur min,% VBur max min diff,% VBur NE NW diff,% VBur SE SW diff,% VBur NE SE diff,% VBur NW SW diff,% VBur NE SW diff,% VBur NW SE diff,% VBur asymm 1,% VBur asymm 2,% VBur asymm 3,% VBur octant 1,% VBur octant 2,% VBur octant 3,% VBur octant 4,% VBur octant 5,% VBur octant 6,% VBur octant 7,% VBur octant 8
ligand-005-c-n-1,1,2,59,91.32352,1.971,2.054,0.16442,0.24188,-0.40139,0.1049,0.6433,-0.1232,0.0158,0.0172,-0.3738,0.0846,0.0066,0.1274,-0.0125,-0.0615,0.5012,0.0971,0.0681,-0.38537,-0.23428,-0.22348,0.17963,0.22705,0.22965,-0.38537,-0.04116,-0.22348,0.0751,-0.23428,-0.36226,-0.36226,0.17769,0.22965,0.17963,0.22705,0.21884,0.24422,0.07746,0.56581,0.04340000000000001,0.139,0.0013999999999999985,0.61568,0.45840000000000003,0.078,0.5287900000000001,0.13990000000000002,0.049,0.138333,-0.077982,-0.40867,0.330688,0.1187,-0.0224,0.0031,1.6424,50.46123742079761,75.15840477077899,30.609392471114425,34.63240775251584,61.44474468878121,75.15840477077899,30.609392471114425,44.54901229966456,48.03857622064852,52.88389862094671,54.89540626164741,46.02706857994782,32.62090011181513,68.3015747297801,4.845322400298187,8.868337681699586,35.68067461796497,99.03559448378681,44.37663063734625,95.80227357435706,60.20778978755125,9.057025717480432,27.087215803205368,16.842154304882595,51.281215057771156
ligand-008-c-n-4,1,2,39,91.39589,1.945,2.06,0.15469,0.25273,-0.40638,0.1087,0.6591,-0.1127,0.0136,0.0388,-0.3619,0.0881,0.0019,0.1366,-0.0171,-0.0197,0.4985,0.1052,0.0216,-0.37089,-0.25003,-0.23066,0.18642,0.22299,0.22578,-0.37089,-0.07636,-0.23066,0.08678,-0.25003,-0.35301,-0.35301,0.18893,0.22578,0.18642,0.22299,0.21912,0.23148999999999997,0.09804000000000002,0.56107,0.0359,0.1263,0.0252,0.61463,0.45,0.0862,0.54298,0.1537,0.002599999999999998,0.304279,-0.090853,-0.471998,0.38114499999999996,0.0688,-0.0268,0.0331,1.8501,46.83772828922847,74.48052553112188,29.861628773760714,23.04090570257175,59.96785314945956,74.48052553112188,23.04090570257175,51.439619828550136,41.50437942601565,52.1710771524413,48.76071561684682,44.914740961610136,26.45126723816623,67.22418934029072,10.666697726425646,3.845974655236681,40.77292210212449,99.24990682072307,44.94968319045844,95.81625046589637,45.09877003354454,0.9830413715989564,24.119455833022734,14.773574357062987,49.711144241520685
ligand-011-c-n-7,1,2,22,87.75191,1.929,1.999,0.14921,0.29079,-0.3983,0.1251,0.6891,-0.1102,-0.0333,0.0414,-0.3659,0.0034,0.0449,0.1456,-0.1182,0.0616,0.5115,0.1216,0.0167,-0.38061,-0.23404,-0.25627,0.21457,0.24647,0.24192,-0.38061,-0.22558,-0.25627,0.07661,-0.23404,-0.35126,-0.35126,0.24647,0.24192,0.21457,0.21592,0.24192,0.20301000000000002,0.14157999999999998,0.5475099999999999,0.056400000000000006,0.0769,0.0747,0.65669,0.3693,0.0415,0.5439,0.26380000000000003,0.17980000000000002,0.119845,-0.050873,-0.206443,0.15556999999999999,-0.0139,-0.0066,0.0556,6.9561,53.417932351844954,70.78829668281773,52.41800223630265,44.39992545657846,46.06550503168096,70.78829668281773,44.39992545657846,26.388371226239272,45.23271524412971,61.603149459560186,57.594111069698094,49.241753633991806,48.40896384644056,58.42690085724934,16.37043421543048,8.352357435706288,10.017937010808787,97.90346626910174,86.30264629146478,87.58386134923593,84.4204248975028,4.3794260156541185,4.547148714125979,18.533358181140514,43.67312709653373
ligand-012-p-p-4,3,1,11,86.94115,2.236,2.248,-0.16007,1.1579,1.13718,0.1817,0.0207,-0.5812,-0.0865,0.0063,-0.5854,-0.1552,0.0365,-0.5769,-0.1596,0.038,0.0085,0.0044,0.0015,-0.72909,-0.39912,-0.3843,-0.50493,0.22666,0.23682,-0.72909,-0.7205,-0.3843,-0.7205,-0.72909,-0.38227,-0.50546,0.22666,0.23682,-0.50493,0.2228,0.23359,1.30757,1.3179699999999999,1.29725,1.7287,0.49470000000000003,0.0928,1.7433,0.4302,0.1917,1.71408,0.4173,0.1976,-0.299409,0.468219,0.455085,0.013133999999999979,-0.1752,-0.0706,0.023,3.2652,48.79856969809914,49.75307491613866,44.06680954155796,46.24021617592248,55.13417815877749,55.13417815877749,44.06680954155796,11.067368617219529,50.68719716734998,46.90994222884831,47.996645546030564,49.60049385016772,45.153512858740214,52.44362653745807,3.7772549385016703,1.6038483041371592,7.290113678717859,88.9349608647037,77.55311218784942,98.78866939992545,81.46198285501305,11.018449496831904,11.47968691762952,10.580506895266492,10.571188967573612
ligand-014-p-c-1,2,1,47,84.85697,2.22,1.958,-0.09075,1.13562,0.3129,0.1705,0.8227,-0.4646,-0.065,0.0347,-0.5112,-0.1209,0.0001,-0.3946,-0.1325,0.1504,0.1166,0.0116,0.1503,-0.5163,-0.39969,-0.38313,-0.38752,0.22416,0.24475,-0.5163,-0.39969,-0.38313,-0.40175,-0.5163,0.00566,-0.50836,0.22416,0.24475,-0.38752,0.13211,0.22591,0.81505,1.2263700000000002,0.40365,1.1889,0.3996,0.09970000000000001,1.64682,0.3903,0.121,0.7075,0.2621,0.28290000000000004,-0.009735,0.351536,0.081966,0.26957000000000003,-0.1244,-0.072,0.0354,0.0531,49.54749813641446,63.15691390234812,28.105199403652623,46.51043607901603,60.41744316064108,63.15691390234812,28.105199403652623,35.0517144986955,53.46393961982855,45.63105665300037,54.83367499068208,44.26132128214685,37.307817741334325,61.787178531494604,7.83288296682818,10.572353708535225,24.47936079016028,94.48378680581439,53.727171077152434,99.99068207230712,83.57249347745062,9.448378680581438,20.84420424897503,2.483227730152814,31.83004099888185
ligand-020-p-c-7,2,11,55,89.29466,2.224,1.916,-0.12867,1.18285,0.35318,0.1692,0.8297,-0.5133,-0.1264,0.0837,-0.5896,-0.1194,0.0215,-0.3989,-0.1421,0.1058,0.1907,0.0227,0.0843,-0.71168,-0.39831,-0.38494,-0.39451,0.23556,0.25809,-0.71168,-0.39831,-0.38494,-0.40333,-0.21722,-0.39831,-0.5249,0.23556,0.24681,-0.39451,-0.07233,0.25809,0.8966700000000001,1.31152,0.48185,1.2812999999999999,0.38689999999999997,0.2101,1.77245,0.4702,0.1409,0.75208,0.2568,0.2479,-0.25239,0.460177,-0.127805,0.587982,-0.1019,-0.1108,0.0765,11.5006,51.6195723071189,56.93486768542677,53.19837868058144,38.39685054043981,57.94819232202758,57.94819232202758,38.39685054043981,19.551341781587773,48.17252143123369,55.066623183004104,47.66585911293329,55.57328550130451,45.79761461051062,57.44153000372717,6.894101751770414,7.907426388371221,11.643915393216552,99.63660081997764,94.80525531121879,96.2308982482296,71.69679463287365,5.096906448005964,19.665486395825567,11.591502049944093,14.233134550875883
ligand-032-p-p-11,3,12,1,97.25222,2.219,2.23,-0.17883,1.15213,1.13882,0.1903,0.0133,-0.5804,-0.2018,0.2073,-0.5816,-0.2129,0.1453,-0.5793,-0.2121,0.1444,0.0023,0.0008,0.0009,-0.72857,-0.60101,0.19069,-0.50132,0.23329,0.23252,-0.72857,-0.60101,-0.71935,-0.71935,-0.59932,-0.72857,-0.50132,0.22524,0.23252,-0.50398,0.23329,0.2249,1.32433,1.3309600000000001,1.31765,1.7259,0.37860000000000005,0.4091,1.73373,0.3687,0.3582,1.7181199999999999,0.3672,0.35650000000000004,-0.260934,0.401092,0.443776,0.042684,-0.1915,-0.1093,0.1135,5.6561,55.85806466641819,54.87327618337682,52.653279910547894,54.53084234066343,61.37486023108461,61.37486023108461,52.653279910547894,8.721580320536717,57.95285128587402,53.763278046962355,54.70205926202013,57.01407007081625,53.59206112560567,58.124068207230714,4.189573238911663,2.312010808796124,4.532007081625046,94.26947446887812,90.37458069325382,98.22959373835259,92.0844204248975,16.97726425642937,24.520126723816624,14.931979127841968,15.477077897875514
ligand-038-p-o-2,46,1,5,90.26991,2.317,2.033,0.18615,1.07168,-0.93872,0.1343,2.0104,0.3422,-0.2679,-0.1621,-0.3503,-0.0304,0.053,2.4195,-0.7543,-0.253,2.7698,0.7239,0.306,-0.37365,-0.98325,-0.46775,2.41951,0.32856,0.21983,-0.37365,-0.30195,-0.46775,2.41951,-0.98325,-0.30935,-0.30935,0.32856,2.41951,2.41951,-0.30195,-0.19674,0.11965,0.8855299999999999,1.12487,0.2757,0.6101000000000001,0.10580000000000003,1.42198,0.3199,0.0834,3.35822,3.1738,0.5013,0.118593,0.582248,-0.457206,1.039454,0.1655,-0.1263,-0.1006,6.9151,48.78517517704062,35.007454342154304,48.56503913529631,43.88045098770034,67.68775624301155,67.68775624301155,35.007454342154304,32.680301900857245,55.784103615355946,41.78624673872531,39.44395266492732,58.12639768915393,46.22274506149833,51.34760529258293,13.997856876630635,18.68244502422661,5.124860231084597,68.29575102497205,80.34849049571375,99.34308609765188,72.66120014908685,15.099701826313828,36.03242638837123,16.78158777487887,1.7191576593365634
ligand-043-p-p-17,3,12,1,88.21463,2.28,2.253,-0.09283,1.10484,1.10909,0.1523,0.0042,-0.4943,0.0856,-0.1521,-0.4934,0.0506,-0.1687,-0.4953,0.0512,-0.1686,0.0019,0.0006,0.0001,-0.70697,-0.39985,-0.48127,-0.37894,0.32984,0.22699,-0.70697,-0.39985,-0.69768,-0.69768,-0.39985,-0.70697,-0.37894,0.32322,0.22699,-0.39083,0.32984,0.22699,1.19983,1.19767,1.2019199999999999,1.6013,0.5799,0.23770000000000002,1.59824,0.544,0.2193,1.60439,0.5465,0.2198,-0.401181,0.780146,0.769561,0.010584999999999956,-0.2282,0.0748,-0.1078,8.6804,63.830716548639586,63.65775251584047,65.72400298173686,55.93086097651882,70.01024972046217,70.01024972046217,55.93086097651882,14.079388743943348,62.97055534849049,64.69087774878867,59.79430674617964,67.86712635109951,60.82743197912784,66.83400111815132,1.7203224002981727,8.072819604919871,6.006569139023483,99.17070443533358,97.53540812523295,97.75437942601566,87.09932910920611,24.76239284383153,42.26612001490869,33.91259783824078,28.144800596347373
ligand-053-p-c-18,45,19,46,85.36525,2.246,1.911,-0.11415,1.14587,0.35994,0.0854,0.7859,-0.3726,-0.1106,-0.0336,-0.3518,-0.1681,-0.0816,-0.404,0.0397,-0.0855,0.0522,0.2078,0.0039,-0.44882,-0.32711,-0.26407,-0.30153,0.16182,0.2819,-0.44882,-0.32711,-0.40539,-0.40539,-0.08524,-0.30153,-0.30153,0.14599,0.2819,-0.40253,0.16182,0.22083,0.86705,1.26002,0.47409,1.1255,0.262,0.07700000000000001,1.4976699999999998,0.1837,0.0865,0.7639400000000001,0.44370000000000004,0.1252,-0.165331,0.542749,-0.125517,0.668266,-0.0743,-0.0606,-0.042,6.904,50.3680581438688,39.69903093551994,67.4291837495341,52.62532612746925,41.71869176295192,67.4291837495341,39.69903093551994,27.73015281401416,47.172008945210585,53.56410734252702,46.1621785314946,54.57393775624301,60.02725493850168,40.70886134923593,6.392098397316438,8.411759224748415,19.318393589265746,74.6552366753634,99.02161759224748,79.74282519567649,95.16865449124114,10.081997763697354,3.6945583302273572,35.83674990682073,4.742825195676482
