lig_id,lig_name
1.0,n-n-1
2.0,p-p-1
3.0,p-p-2
4.0,p-p-3
5.0,c-n-1
6.0,c-n-2
7.0,c-n-3
8.0,c-n-4
9.0,c-n-5
10.0,c-n-6
11.0,c-n-7
12.0,p-p-4
13.0,p-p-5
71.0,n-n-2
72.0,n-n-3
14.0,p-c-1
15.0,p-c-2
16.0,p-c-3
17.0,p-c-4
27.0,p-p-6
28.0,p-p-7
29.0,p-p-8
30.0,p-p-9
31.0,p-p-10
32.0,p-p-11
33.0,p-p-12
34.0,p-p-13
35.0,p-p-14
36.0,p-p-15
64.0,p-p-23
65.0,p-p-24
66.0,p-p-25
67.0,p-p-26
68.0,p-p-27
69.0,p-p-28
70.0,p-p-29
44.0,p-p-18
18.0,p-c-5
19.0,p-c-6
20.0,p-c-7
21.0,p-c-8
22.0,p-c-9
23.0,p-c-10
24.0,p-c-11
25.0,p-c-12
26.0,p-c-13
42.0,p-p-16
43.0,p-p-17
12.0,p-p-12
13.0,p-p-13
46.0,p-p-20
47.0,p-p-21
48.0,p-p-22
49.0,p-c-14
50.0,p-c-15
51.0,p-c-16
52.0,p-c-17
53.0,p-c-18
54.0,p-c-19
55.0,p-c-20
56.0,p-c-21
57.0,p-c-22
58.0,p-c-23
59.0,p-c-24
60.0,p-c-25
61.0,p-c-26
62.0,p-c-27
63.0,p-c-28
73.0,n-o-1
74.0,n-o-2
75.0,n-o-3
76.0,n-o-4
77.0,n-o-5
78.0,n-o-6
79.0,n-o-7
80.0,p-o-6
81.0,p-o-7
82.0,p-o-8
83.0,p-o-9
84.0,p-o-10
41.0,p-o-5
85.0,p-o-11
86.0,p-o-12
87.0,p-o-13
88.0,p-o-14
89.0,p-o-15
90.0,p-o-16
91.0,p-o-17
92.0,p-o-18
93.0,p-o-19
94.0,p-o-20
95.0,p-o-21
96.0,p-o-22
97.0,p-o-23
98.0,p-o-24
99.0,p-o-25
100.0,p-o-26
101.0,p-o-27
102.0,p-o-28
103.0,p-o-29
104.0,p-o-30
105.0,p-o-31
106.0,p-o-32
107.0,p-o-33
108.0,p-o-34
109.0,p-o-35
110.0,p-o-36
111.0,p-o-37
112.0,p-o-38
116.0,n-n-7
113.0,n-n-4
114.0,n-n-5
115.0,n-n-6
117.0,n-n-8
118.0,p-n-1
119.0,p-n-2
120.0,p-n-3
121.0,p-p-23
122.0,c-o-1
123.0,c-o-2
124.0,c-o-3
125.0,p-p-24
126.0,p-p-25
127.0,p-p-26
128.0,p-p-27
129.0,p-p-28
130.0,n-n-9
131.0,p-n-4
132.0,p-n-5
133.0,p-n-6
134.0,p-n-7
135.0,p-n-8
136.0,p-o-39
137.0,p-o-40
138.0,p-o-41
139.0,p-o-42
140.0,n-n-10
141.0,n-n-11
142.0,n-n-12
143.0,n-n-13
144.0,p-o-43
145.0,p-o-44
146.0,n-o-8
147.0,n-o-10
148.0,n-o-11
149.0,n-o-12
152.0,n-o-15
150.0,n-o-13
151.0,n-o-14
153.0,p-o-45
154.0,p-o-46
155.0,p-o-47
156.0,p-o-48
157.0,p-o-49
158.0,p-o-50
159.0,p-o-51
160.0,p-o-52
161.0,n-o-16
162.0,n-o-17
163.0,n-n-14
164.0,n-n-15
165.0,n-n-16
166.0,n-n-17
167.0,n-n-18
168.0,n-n-19
,
169.0,n-o-20
170.0,n-o-21
171.0,n-o-22
172.0,n-o-23
173.0,n-o-24
174.0,n-o-25
175.0,n-o-26
176.0,n-o-27
177.0,n-o-28
178.0,n-o-29
179.0,n-o-30
180.0,n-o-31
181.0,n-o-32
182.0,n-o-33
183.0,n-o-34
184.0,n-o-35
185.0,n-o-36
186.0,p-o-53
38.0,p-o-2
187.0,p-o-54
188.0,p-o-55
189.0,p-o-56
190.0,p-o-57
191.0,p-o-58
192.0,p-o-59
193.0,p-o-60
194.0,p-o-61
195.0,p-o-62
196.0,n-o-37
197.0,n-o-38
198.0,n-o-39
199.0,n-o-40
200.0,n-o-41
203.0,n-o-44
202.0,n-o-43
204.0,n-o-45
205.0,n-o-46
208.0,n-o-49
206.0,n-o-47
207.0,n-o-48
201.0,n-o-42
209.0,n-o-50
210.0,n-o-51
213.0,n-o-54
214.0,n-o-55
211.0,n-o-52
212.0,n-o-53
213.0,n-o-56
216.0,n-o-57
217.0,n-o-58
218.0,n-o-59
219.0,n-o-60
220.0,n-o-61
221.0,n-o-62
222.0,n-o-63
223.0,n-o-64
224.0,n-o-65
225.0,n-o-66
226.0,n-o-67
227.0,n-o-68
228.0,n-o-69
229.0,n-o-71
230.0,n-o-72
231.0,n-o-73
239.0,n-o-76
232.0,n-o-74
238.0,n-o-75
233.0,p-n-9
234.0,p-n-10
235.0,p-n-11
236.0,p-n-12
237.0,p-n-13
240.0,n-o-77
241.0,n-o-78
242.0,n-o-79
243.0,p-o-63
244.0,p-o-64
245.0,p-o-65
246.0,c-n-7
247.0,c-n-8
248.0,c-o-4
249.0,c-o-5
250.0,c-o-6
251.0,p-o-66
252.0,p-o-67
253.0,p-o-68
254.0,p-o-69
255.0,p-o-70
256.0,p-o-71
257.0,c-o-7
258.0,c-o-8
259.0,c-o-9
260.0,c-o-10
261.0,p-o-72
262.0,p-o-73
263.0,p-o-74
266.0,p-o-75
267.0,p-o-76
268.0,p-o-77
269.0,p-o-78
270.0,p-o-79
271.0,p-o-80
272.0,p-o-81
273.0,p-o-82
274.0,p-o-83
275.0,p-o-84
276.0,n-n-23
277.0,n-n-24
278.0,p-o-85
279.0,p-o-86
280.0,p-o-87
281.0,p-o-88
282.0,p-o-89
283.0,p-o-90
284.0,p-o-92
285.0,p-o-93
411.0,p-o-95
412.0,p-o-97
286.0,p-o-98
287.0,p-o-99
288.0,p-o-100
289.0,p-o-101
290.0,p-o-102
291.0,p-o-103
292.0,p-o-104
293.0,p-o-105
294.0,p-o-106
295.0,p-o-107
296.0,p-o-108
297.0,p-o-109
298.0,p-o-110
299.0,p-o-111
300.0,p-o-112
301.0,p-o-113
302.0,p-o-114
303.0,p-o-115
304.0,p-o-116
305.0,p-o-117
306.0,p-o-118
307.0,n-n-25
308.0,n-n-26
309.0,n-n-27
310.0,p-o-119
311.0,p-o-120
312.0,p-o-121
313.0,p-o-122
314.0,n-n-28
315.0,n-n-29
39.0,p-o-3
316.0,p-o-123
317.0,n-n-30
318.0,n-n-31
319.0,n-n-32
320.0,n-n-33
321.0,n-n-34
322.0,n-n-35
323.0,n-n-36
324.0,n-n-37
325.0,n-n-38
326.0,n-n-39
327.0,n-n-40
328.0,n-n-41
329.0,n-n-42
330.0,p-o-124
331.0,n-n-43
332.0,n-n-44
337.0,n-n-45
338.0,n-n-46
1873.0,p-o-54
335.0,n-n-43
336.0,n-n-44
339.0,n-n-47
340.0,p-o-125
341.0,p-o-126
342.0,p-o-127
407.0,p-o-138
408.0,p-o-139
409.0,p-o-140
408.0,p-o-138
409.0,p-o-139
343.0,n-n-48
344.0,n-n-49
345.0,n-n-50
346.0,n-n-51
348.0,n-n-53
347.0,n-n-52
349.0,p-o-128
350.0,p-o-129
351.0,p-o-130
352.0,p-o-131
353.0,p-o-132
354.0,c-o-11
355.0,p-o-133
356.0,p-o-134
357.0,n-n-54
358.0,n-n-55
359.0,n-n-56
360.0,n-n-57
361.0,n-n-58
362.0,n-n-59
363.0,n-n-60
364.0,n-n-61
365.0,n-n-62
366.0,n-n-63
367.0,n-n-64
368.0,n-n-65
369.0,n-n-66
370.0,n-n-70
131.0,p-n-14
132.0,p-n-15
133.0,p-n-15
133.0,p-n-16
134.0,p-n-17
135.0,p-n-18
377.0,c-o-13
376.0,c-o-12
378.0,n-n-71
379.0,n-n-72
380.0,n-n-73
381.0,n-n-74
382.0,n-n-75
383.0,p-n-19
384.0,p-n-20
385.0,p-n-21
386.0,p-n-22
387.0,p-n-23
388.0,p-n-24
389.0,p-n-25
390.0,p-n-26
391.0,p-n-27
392.0,p-o-135
393.0,p-o-136
394.0,p-o-137
395.0,p-n-28
396.0,p-n-29
397.0,p-n-30
398.0,n-n-76
399.0,n-n-77
400.0,n-n-78
401.0,n-n-79
402.0,n-n-80
403.0,n-n-81
404.0,p-n-31
405.0,p-n-32
406.0,p-n-33
410.0,p-p-29
413.0,n-n-82
414.0,n-n-83
415.0,n-n-84
416.0,n-n-85
417.0,n-n-86
418.0,n-n-87
419.0,n-n-88
420.0,n-n-89
421.0,n-n-90
422.0,n-n-91
423.0,n-n-92
424.0,n-n-93
425.0,n-n-94
426.0,n-n-95
427.0,n-n-96
428.0,n-n-97
429.0,n-n-98
430.0,n-n-99
431.0,p-c-24
432.0,p-c-25
433.0,p-c-26
434.0,c-n-9
435.0,n-n-100
436.0,n-n-101
437.0,n-n-102
438.0,n-n-103
439.0,p-o-141
440.0,p-o-142
441.0,p-o-143
442.0,p-o-144
443.0,p-o-145
444.0,p-o-146
445.0,p-o-147
446.0,p-o-148
447.0,p-o-149
448.0,p-o-150
449.0,p-o-151
450.0,p-o-152
451.0,n-o-18
452.0,n-o-19
453.0,n-n-20
455.0,n-n-22
454.0,n-n-21
